Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total,Unitless
((rX/(rA)^2)+(log(rA)/rB)),0.955882353,0.874013158,4,5,9,X
(((rB/rA))^2+sqrt((rX/rB))),0.911764706,0.844539474,4,5,9,O
(rB/((rA-rX)+(rX*xX))),0.911764706,0.766776316,5,4,9,
(exp((rA-rB))+exp((rX/rA))),0.911764706,0.831973684,4,5,9,
(((xX)^2/rB)+(log(rX)/rA)),0.897058824,0.80254386,4,5,9,
(((rA-rX))^2/(rA*rB)),0.897058824,0.791995614,4,4,8,
((xX*(rB)^2)/((rA-rX))^2),0.897058824,0.787785088,4,5,9,
((rB*sqrt(xX))/((rA-rX))^2),0.897058824,0.779429825,4,5,9,
((rB/sqrt(rX))/((rA-rX))^2),0.897058824,0.779429825,4,5,9,
((rB*(xX)^2)/((rA-rX))^2),0.897058824,0.779429825,4,5,9,
(((rA-rX))^2*(log(xX)/rB)),0.897058824,0.781535088,4,5,9,
((rB/log(xX))/((rA-rX))^2),0.897058824,0.781535088,4,5,9,
(sqrt(xX)+((rA+rB)/rX)),0.897058824,0.78995614,4,4,8,
(((rA-rX))^2*exp((rX/rB))),0.897058824,0.80254386,4,5,9,
(((rB)^2/rX)/((rA-rX))^2),0.897058824,0.800416667,4,5,9,
(exp(-(rX/rB))/((rA-rX))^2),0.897058824,0.80254386,4,6,9,
(((rA-rX))^2*exp((rB)^-1)),0.897058824,0.789934211,3,6,9,
(((rB/rX))^2/((rA-rX))^2),0.897058824,0.794122807,4,5,9,
(exp(-(rB)^-1)/((rA-rX))^2),0.897058824,0.789934211,3,7,9,
(((rA-rX)*(rX/rB)))^2,0.897058824,0.794122807,4,4,8,
(((rA-rX))^2/(rB*(xX)^2)),0.897058824,0.777324561,4,5,9,
(((rA-rX))^2/(rB*sqrt(xX))),0.897058824,0.779429825,4,5,9,
(((rA-rX))^2/(xX*(rB)^2)),0.897058824,0.785701754,4,5,9,
(((rB*xX)/(rA-rX)))^2,0.897058824,0.798333333,4,4,8,
((xX*(rB)^2)-((rA-rX))^2),0.897058824,0.792039474,4,5,9,
((rB*exp(xX))/((rA-rX))^2),0.897058824,0.783640351,4,5,9,
((rA*rB)/((rA-rX))^2),0.897058824,0.789890351,4,4,8,
((rX/(rA+rB))-(exp(-rX))^2),0.897058824,0.792061404,4,6,9,
(exp((rA*rB))/((rA-rX))^2),0.897058824,0.783618421,4,5,9,
(((rA-rX)/(rB*xX)))^2,0.897058824,0.798333333,4,4,8,
(((rA-rX))^2*(rX/(rB)^2)),0.897058824,0.800416667,4,5,9,
((rX/rB)+(rB/(rA*xX))),0.882352941,0.84879386,5,4,9,
((log(xX)/rB)-(exp(rX)/rA)),0.882352941,0.813070175,4,5,9,
(((rX/rA)*log(xX))/sqrt(rB)),0.882352941,0.80254386,4,5,9,
((rA/log(rX))/exp((xX/rB))),0.882352941,0.819385965,4,5,9,
(xX+((rA+rB)/rX)),0.882352941,0.79625,4,3,7,
(((rA)^2*(rB/rX))/log(rX)),0.882352941,0.79627193,4,5,9,
((rX/rB)+(rX/(rA*xX))),0.882352941,0.817302632,5,4,9,
((rA/log(rX))*sqrt((rB/xX))),0.882352941,0.802565789,4,5,9,
(((rB/rX))^2*log((rA/rB))),0.882352941,0.827697368,4,5,9,
((rB*sqrt(rA))/((rA-rX))^2),0.882352941,0.781513158,4,5,9,
((exp(rX)/rB)/((rA*xX))^2),0.882352941,0.806732456,4,5,9,
((log(rX)/rA)*exp((xX/rB))),0.882352941,0.819385965,4,5,9,
((rX/rB)+(exp(-rA)/(xX)^2)),0.882352941,0.800416667,4,6,9,
((exp(rX)/rA)+(exp(-xX)/rB)),0.882352941,0.819364035,4,6,9,
((exp(rB)/rB)+(exp(rX)/rA)),0.882352941,0.825657895,4,5,9,
((rX/(rA+rB))-sqrt(sqrt(xX))),0.882352941,0.800482456,4,5,9,
(((rX/rA))^2*(exp(rX)/rB)),0.882352941,0.825614035,4,5,9,
