Substance,Type,Label,n,A1,A2,B1,B2,X1,X2,rA,rB,rX,xX
Cs2AgF4,rp,1,1,Cs,Cs,Ag,Ag,F,F,1.78,0.94,1.33,0.344443
Sr2RuO4,rp,1,1,Sr,Sr,Ru,Ru,O,O,1.31,0.62,1.4,0.304575
SrSmCrO4,rp,1,1,Sr,Sm,Cr,Cr,O,O,1.221,0.615,1.4,0.304575
Cs2YbCl4,rp,1,1,Cs,Cs,Yb,Yb,Cl,Cl,1.78,1.02,1.81,0.263803
SrTbFeO4,rp,1,1,Sr,Tb,Fe,Fe,O,O,1.2025,0.645,1.4,0.304575
La2CuO4,rp,1,1,La,La,Cu,Cu,O,O,1.216,0.73,1.4,0.304575
Rb2ZnF4,rp,1,1,Rb,Rb,Zn,Zn,F,F,1.63,0.74,1.33,0.344443
Rb2NiF4,rp,1,1,Rb,Rb,Ni,Ni,F,F,1.63,0.69,1.33,0.344443
Rb2MnF4,rp,1,1,Rb,Rb,Mn,Mn,F,F,1.63,0.83,1.33,0.344443
Tl2UO4,rp,1,1,Tl,Tl,U,U,O,O,1.59,0.73,1.4,0.304575
Rb2NpO4,rp,1,1,Rb,Rb,Np,Np,O,O,1.63,0.72,1.4,0.304575
Rb2MnBr2Cl2,rp,1,1,Rb,Rb,Mn,Mn,Br,Cl,1.63,0.83,1.885,0.2525304
Sr2TiO4,rp,1,1,Sr,Sr,Ti,Ti,O,O,1.31,0.605,1.4,0.304575
Sr2SnO4,rp,1,1,Sr,Sr,Sn,Sn,O,O,1.31,0.69,1.4,0.304575
Sr2RhO4,rp,1,1,Sr,Sr,Rh,Rh,O,O,1.31,0.6,1.4,0.304575
Ba2IrO4,rp,1,1,Ba,Ba,Ir,Ir,O,O,1.47,0.625,1.4,0.304575
Ca2SiO4,rp,1,1,Ca,Ca,Si,Si,O,O,1.18,0.4,1.4,0.304575
Cs2CdCl4,rp,1,1,Cs,Cs,Cd,Cd,Cl,Cl,1.78,0.95,1.81,0.263803
Rb2CdCl4,rp,1,1,Rb,Rb,Cd,Cd,Cl,Cl,1.63,0.95,1.81,0.263803
Cs2CrCl4,rp,1,1,Cs,Cs,Cr,Cr,Cl,Cl,1.78,0.8,1.81,0.263803
SrTbVO4,rp,1,1,Sr,Tb,V,V,O,O,1.2025,0.64,1.4,0.304575
LaAgTiO4,rp,1,1,La,Ag,Ti,Ti,O,O,1.248,0.605,1.4,0.304575
CaDyAlO4,rp,1,1,Ca,Dy,Al,Al,O,O,1.1315,0.535,1.4,0.304575
SrPrVO4,rp,1,1,Sr,Pr,V,V,O,O,1.2445,0.64,1.4,0.304575
SrCeAlO4,rp,1,1,Sr,Ce,Al,Al,O,O,1.253,0.535,1.4,0.304575
EuGdAlO4,rp,1,1,Eu,Gd,Al,Al,O,O,1.2035,0.535,1.4,0.304575
EuLaAlO4,rp,1,1,Eu,La,Al,Al,O,O,1.258,0.535,1.4,0.304575
EuNdAlO4,rp,1,1,Eu,Nd,Al,Al,O,O,1.2315,0.535,1.4,0.304575
