Substance,Label,rp,f.e,Compound,Type,n,criterion,t_RP,p_Label,A1,A2,B1,B2,X1,X2,cnA1,cnA2,cnB1,cnB2,cnX,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,Source,train
Sr2RuO4,1.0,1.726682038207422,-0.7413689499999947,Sr2RuO4,RP,1.0,1.83,1.726682038,1.0,Sr,Sr,Ru,Ru,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.62,1.4,2.0,4.0,-2.0,0.1185082,0.1376494,0.304575,5.6948672,7.3605,13.618054,2.0,8.0,6.0,Handbook,True
SrSmCrO4,1.0,1.7624809675545678,-0.4580233012499946,SrSmCrO4,RP,1.0,1.83,1.762480968,1.0,Sr,Sm,Cr,Cr,O,O,9.0,9.0,6.0,6.0,6.0,1.221,0.615,1.4,2.5,3.0,-2.0,0.1519881,0.1313053,0.304575,5.6692886,6.76651,13.618054,5.0,6.0,6.0,Handbook,True
SrTbFeO4,1.0,1.7609823826328577,-0.0831388481249959,SrTbFeO4,RP,1.0,1.83,1.760982383,1.0,Sr,Tb,Fe,Fe,O,O,9.0,9.0,6.0,6.0,6.0,1.2025,0.645,1.4,2.5,3.0,-2.0,0.1586856,0.1392532,0.304575,5.7793336,7.9024678,13.618054,6.5,8.0,6.0,Handbook,True
La2CuO4,1.0,1.745244374484105,0.1370280762500009,La2CuO4,RP,1.0,1.83,1.745244374,1.0,La,La,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.216,0.73,1.4,3.0,2.0,-2.0,0.163142,0.1511716,0.304575,5.5769,7.72638,13.618054,3.0,11.0,6.0,Handbook,True
Tl2UO4,1.0,1.5956402418283346,-0.9002159750000018,Tl2UO4,RP,1.0,1.83,1.595640242,1.0,Tl,Tl,U,U,O,O,9.0,9.0,6.0,6.0,6.0,1.59,0.73,1.4,1.0,6.0,-2.0,0.173447,0.13207,0.304575,6.108287,6.19405,13.618054,3.0,6.0,6.0,Handbook,True
Rb2NpO4,1.0,1.5895479848058425,-3.734476540000003,Rb2NpO4,RP,1.0,1.83,1.589547985,1.0,Rb,Rb,Np,Np,O,O,9.0,9.0,6.0,6.0,6.0,1.63,0.72,1.4,1.0,6.0,-2.0,0.104686,0.14265,0.304575,4.177128,6.2655,13.618054,1.0,7.0,6.0,Handbook,True
Sr2TiO4,1.0,1.7344889008747393,-1.4499136499999956,Sr2TiO4,RP,1.0,1.83,1.734488901,1.0,Sr,Sr,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.605,1.4,2.0,4.0,-2.0,0.1185082,0.1233637,0.304575,5.6948672,6.82812,13.618054,2.0,4.0,6.0,Handbook,True
Sr2SnO4,1.0,1.7018560083412568,-0.7724194700000027,Sr2SnO4,RP,1.0,1.83,1.701856008,1.0,Sr,Sr,Sn,Sn,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.69,1.4,2.0,4.0,-2.0,0.1185082,0.178052,0.304575,5.6948672,7.343917,13.618054,2.0,4.0,6.0,Handbook,True
Sr2RhO4,1.0,1.737303216617858,-0.4577036649999968,Sr2RhO4,RP,1.0,1.83,1.737303217,1.0,Sr,Sr,Rh,Rh,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.6,1.4,2.0,4.0,-2.0,0.1185082,0.1408379,0.304575,5.6948672,7.4589,13.618054,2.0,9.0,6.0,Handbook,True
Ba2IrO4,1.0,1.6774325414558395,-0.8215249200000017,Ba2IrO4,RP,1.0,1.83,1.677432541,1.0,Ba,Ba,Ir,Ir,O,O,9.0,9.0,6.0,6.0,6.0,1.47,0.625,1.4,2.0,4.0,-2.0,0.1586786,0.25106,0.304575,5.211664,8.96702,13.618054,2.0,9.0,6.0,Handbook,True
Ca2SiO4,1.0,1.9857382021488208,-0.4933149050000018,Ca2SiO4,RP,1.0,1.83,1.985738202,0.0,Ca,Ca,Si,Si,O,O,9.0,9.0,6.0,6.0,6.0,1.18,0.4,1.4,2.0,4.0,-2.0,0.1154119,0.178503,0.304575,6.1131552,8.151683,13.618054,2.0,4.0,6.0,Handbook,True
SrTbVO4,1.0,1.7622828984765262,-0.1348327031250065,SrTbVO4,RP,1.0,1.83,1.762282898,1.0,Sr,Tb,V,V,O,O,9.0,9.0,6.0,6.0,6.0,1.2025,0.64,1.4,2.5,3.0,-2.0,0.1586856,0.1273344,0.304575,5.7793336,6.746187,13.618054,6.5,5.0,6.0,Handbook,True
LaAgTiO4,1.0,1.756207470375595,-0.1640200656249959,LaAgTiO4,RP,1.0,1.83,1.75620747,1.0,La,Ag,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.248,0.605,1.4,2.0,4.0,-2.0,0.15517925,0.1233637,0.304575,6.576567,6.82812,13.618054,7.0,4.0,6.0,Handbook,True
CaDyAlO4,1.0,1.84122179060289,-0.0483046287499995,CaDyAlO4,RP,1.0,1.83,1.841221791,0.0,Ca,Dy,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.1315,0.535,1.4,2.5,3.0,-2.0,0.15937095,0.150078,0.304575,6.0261026,5.9857684,13.618054,7.0,3.0,6.0,Handbook,True
SrPrVO4,1.0,1.7434861281141998,-0.5171969737499964,SrPrVO4,RP,1.0,1.83,1.743486128,1.0,Sr,Pr,V,V,O,O,9.0,9.0,6.0,6.0,6.0,1.2445,0.64,1.4,2.5,3.0,-2.0,0.1452941,0.1273344,0.304575,5.5839336,6.746187,13.618054,3.5,5.0,6.0,Handbook,True
SrCeAlO4,1.0,1.799967425273286,-0.4001949831250009,SrCeAlO4,RP,1.0,1.83,1.799967425,1.0,Sr,Ce,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.253,0.535,1.4,2.5,3.0,-2.0,0.1430591,0.150078,0.304575,5.6167336,5.9857684,13.618054,3.0,3.0,6.0,Handbook,True
