Compound,Type,Label,n,criterion,t_RP,p_Label,A1,A2,B1,B2,X1,X2,cnA1,cnA2,cnB1,cnB2,cnX,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,Source,train,Substance
Sr2RuO4,RP,1,1,1.83,1.726682038,1,Sr,Sr,Ru,Ru,O,O,9,9,6,6,6,1.31,0.62,1.4,2.0,4.0,-2.0,0.1185082,0.1376494,0.304575,5.6948672,7.3605,13.618054,2.0,8.0,6.0,Handbook,True,Sr2RuO4
SrSmCrO4,RP,1,1,1.83,1.762480968,1,Sr,Sm,Cr,Cr,O,O,9,9,6,6,6,1.221,0.615,1.4,2.5,3.0,-2.0,0.1519881,0.1313053,0.304575,5.6692886,6.76651,13.618054,5.0,6.0,6.0,Handbook,True,SrSmCrO4
SrTbFeO4,RP,1,1,1.83,1.760982383,1,Sr,Tb,Fe,Fe,O,O,9,9,6,6,6,1.2025,0.645,1.4,2.5,3.0,-2.0,0.1586856,0.1392532,0.304575,5.7793336,7.9024678,13.618054,6.5,8.0,6.0,Handbook,True,SrTbFeO4
La2CuO4,RP,1,1,1.83,1.745244374,1,La,La,Cu,Cu,O,O,9,9,6,6,6,1.216,0.73,1.4,3.0,2.0,-2.0,0.163142,0.1511716,0.304575,5.5769,7.72638,13.618054,3.0,11.0,6.0,Handbook,True,La2CuO4
Tl2UO4,RP,1,1,1.83,1.595640242,1,Tl,Tl,U,U,O,O,9,9,6,6,6,1.59,0.73,1.4,1.0,6.0,-2.0,0.173447,0.13207,0.304575,6.108287,6.19405,13.618054,3.0,6.0,6.0,Handbook,True,Tl2UO4
Rb2NpO4,RP,1,1,1.83,1.589547985,1,Rb,Rb,Np,Np,O,O,9,9,6,6,6,1.63,0.72,1.4,1.0,6.0,-2.0,0.104686,0.14265,0.304575,4.177128,6.2655,13.618054,1.0,7.0,6.0,Handbook,True,Rb2NpO4
Sr2TiO4,RP,1,1,1.83,1.734488901,1,Sr,Sr,Ti,Ti,O,O,9,9,6,6,6,1.31,0.605,1.4,2.0,4.0,-2.0,0.1185082,0.1233637,0.304575,5.6948672,6.82812,13.618054,2.0,4.0,6.0,Handbook,True,Sr2TiO4
Sr2SnO4,RP,1,1,1.83,1.701856008,1,Sr,Sr,Sn,Sn,O,O,9,9,6,6,6,1.31,0.69,1.4,2.0,4.0,-2.0,0.1185082,0.178052,0.304575,5.6948672,7.343917,13.618054,2.0,4.0,6.0,Handbook,True,Sr2SnO4
Sr2RhO4,RP,1,1,1.83,1.737303217,1,Sr,Sr,Rh,Rh,O,O,9,9,6,6,6,1.31,0.6,1.4,2.0,4.0,-2.0,0.1185082,0.1408379,0.304575,5.6948672,7.4589,13.618054,2.0,9.0,6.0,Handbook,True,Sr2RhO4
Ba2IrO4,RP,1,1,1.83,1.677432541,1,Ba,Ba,Ir,Ir,O,O,9,9,6,6,6,1.47,0.625,1.4,2.0,4.0,-2.0,0.1586786,0.25106,0.304575,5.211664,8.96702,13.618054,2.0,9.0,6.0,Handbook,True,Ba2IrO4
