Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total
((rA-rX)*(rB/exp(rA))),0.9015450237140711,1.0367606355970391,4,4,8
(((rX/xX)*sqrt(rB))/(rA)^2),0.9057762492290651,1.0316826542217297,4,5,9
(((rA*xX)/rB)-(rX/rA)),0.9071271596093096,1.0355335181840988,5,4,9
(((rB*rX)/rA)-rB),0.9073945791818698,1.0500822889214878,4,3,7
exp(((rA-rX)*(rB/rA))),0.9073945791818698,1.0500990568553183,4,4,8
(sqrt((rA+rB))/(xX*exp(rA))),0.9075060250688812,1.0396812904594268,4,5,9
((rX/exp(rA))*sqrt(sqrt(rB))),0.9075585022174928,1.0453785135364306,3,5,8
(((rX)^2*sqrt(rB))/(exp(rA))^2),0.9075585022174928,1.04536551827792,3,6,9
((rA/(rB+rX))+sqrt(exp(xX))),0.9075873654417024,1.0198325203873413,4,5,9
((xX)^2+(rA/(rB+rX))),0.9082222545109019,1.0215554945948775,4,4,8
(((rB+rX)/rA)/exp(sqrt(xX))),0.9086775174236763,1.0209378896189336,4,5,9
((rA/(rB+rX))*exp(sqrt(xX))),0.9086775174236764,1.0209378896189336,4,5,9
((log(xX)/rA)+(exp(-rX)/rB)),0.9087398780530344,1.045075098317495,4,6,9
(((rB+rX)/exp(xX))/rA),0.9088797289864324,1.0215842044432062,4,4,8
((rA*exp(xX))/(rB+rX)),0.9088797289864328,1.0215842044432062,4,4,8
((rA/(rB+rX))+sqrt(sqrt(xX))),0.9089641304053478,1.0338701164510953,4,5,9
(sqrt(sqrt(rB))/(rA*xX)),0.9091497994594525,1.0353677772890892,3,4,7
(sqrt(rB)/((rA*xX))^2),0.9091497994594525,1.0353677772890892,3,4,7
(((rB+rX)/rA)*sqrt(sqrt(rX))),0.909220468344198,1.0256636740027694,4,5,9
((rA/(rB+rX))/sqrt(sqrt(rX))),0.9092204683441981,1.0256636740027694,4,5,9
(exp(sqrt(rB))/((rA*xX))^2),0.9094320471643803,1.045383892578543,3,5,8
(((rB+rX)/rA)/sqrt(sqrt(xX))),0.909524624090187,1.020762751488559,4,5,9
((rA/(rB+rX))*sqrt(sqrt(xX))),0.9095246240901871,1.020762751488559,4,5,9
((log(rX)*sqrt(rB))/(exp(rA))^2),0.909837711162554,1.0504402399737223,3,6,9
((exp(-rX))^2+(rA/(rB+rX))),0.9098439816315784,1.0166183183577746,4,6,9
(((rB+rX)/xX)/exp((rA)^2)),0.9098767137106702,1.0466308783366636,4,5,9
((sqrt(rB)/(xX)^2)/exp((rA)^2)),0.9102052413338897,1.0455506405607025,3,6,9
((rA/log(xX))/sqrt((rA+rB))),0.9102909212397625,1.0403045429000484,4,5,9
((log(xX)/rA)*sqrt((rA+rB))),0.9102909212397625,1.0403045429000484,4,5,9
(((rB/rA)-(rB/rX))/xX),0.9109088074268247,1.039931097218657,5,4,9
((rA+rX)/(exp(rA)+exp(-rB))),0.9109481012164289,1.0577387007213999,4,6,9
(((rX)^2*sqrt(rB))/exp((rA)^2)),0.911505750877862,1.0388317978253543,3,6,9
(sqrt((rA*rB))/((rA*xX))^2),0.9117989612380946,1.0592238134162781,4,5,9
((rB*(rA-rX))/exp((rA)^2)),0.9118756861497028,1.043843485307327,4,5,9
(((rB*xX)-rA)/rX),0.9120110082770541,1.0207876542907601,4,3,7
(rX/((rA+rX)-(rB*xX))),0.9120110082770541,1.0207876542907601,5,4,9
(((rA-rX)-(rB*xX))/rX),0.9120110082770542,1.0207876542907601,5,4,9
(((rA+rX)-(rB*xX))/rX),0.9120110082770542,1.0207876542907601,5,4,9
(rX/((rB*xX)-rA)),0.9120110082770542,1.0207876542907601,4,3,7
((exp(-rB)+exp(-xX))-(rX/rA)),0.9123401332377533,1.0478466025537216,4,7,9
((rA/(rB+rX))-sqrt(exp(-xX))),0.9123879450784345,1.023764798866021,4,6,9
((rA-rX)+(rA/exp(rB))),0.9124958705269643,1.0470300228818885,4,4,8
(exp((rB-rA))-exp((rB-rX))),0.912831783982017,1.0460497806962188,4,5,9
(exp(sqrt(rB))*(exp(rX)/(rA)^2)),0.9129907857440481,1.028946519643215,3,6,9
((exp(rB)+exp(rX))/exp(rA)),0.9132645341081338,1.0367274900237593,3,5,8
((log(rX)*sqrt(rB))/exp((rA)^2)),0.9134502249272556,1.0495674220974172,3,6,9
((exp(-rA)/(xX)^2)-(rA/rB)),0.913696084537454,1.0358503423342298,4,6,9
((exp(-rB)+exp(-xX))/(rX/rA)),0.9137457614911932,1.02749693723647,4,7,9
((rX/rA)/(exp(-rB)+exp(-xX))),0.9137457614911932,1.0275795279047106,4,7,9
((rA+(rA*xX))/(rB+rX)),0.9139104498466182,1.0226036655968649,5,4,9
((rB+rX)/(rA+(rA*xX))),0.9139104498466182,1.0226036655968649,5,4,9
(((rB+rX)/rA)-(exp(-rA))^2),0.9140241528462967,1.0237791648201586,4,6,9
((exp(-rX))^2-((rB+rX)/rA)),0.9140518091964897,1.0221693402804801,4,6,9
(sqrt(exp(rB))+(exp(-rA)/(xX)^2)),0.9140894409513051,1.0915570861136676,3,7,9
((exp(rB))^-1-(rX/rA)),0.9141542064343714,1.0308671412407835,3,5,8
(exp((rB*xX))/(xX*exp(rA))),0.9142193295203028,1.0325758769785414,4,5,9
((log(xX))^2/((rB*xX)-rA)),0.9142350483393406,1.0519475915344976,4,5,9
(((rB+rX)/rA)+(exp(-xX))^2),0.9142472803955094,1.0168057915503788,4,6,9
((exp(rX)*sqrt(rB))/(rA)^2),0.914283445194123,1.03455924533869,3,5,8
(exp((rB)^2)*((rA-rX)/rA)),0.9142986089906053,1.039802019447039,4,5,9
(exp((rB-rX))+exp((rX-rA))),0.9143780410127548,1.025333037472643,4,5,9
(exp((rX-rA))/exp(-(rB/rA))),0.9146024120163084,1.0336584802877784,4,6,9
(exp(rB)*log((rA/rX))),0.9149360144536197,1.0456076558572167,3,4,7
((rX/rA)*sqrt(sqrt(rB))),0.9149940959329472,1.0382785317547707,3,4,7
((rA/rX)/sqrt(sqrt(rB))),0.9149940959329472,1.038278531754771,3,4,7
(sqrt(rB)*((rX/rA))^2),0.9149940959329472,1.0382907001938626,3,4,7
((rX*(rB+rX))/exp((rA)^2)),0.9150521373315832,1.0316771899011692,4,5,9
((exp(-rB))^2-(xX+(rX/rA))),0.9152249767495929,1.0462514015139015,4,6,9
((rX/(rA)^2)/exp((xX/rB))),0.9152365110866199,1.037009142816171,4,5,9
((log(rX)*sqrt(rB))/(rA)^2),0.9153249622418556,1.042651491570876,3,5,8
(sqrt(sqrt(xX))-((rB+rX)/rA)),0.9154047860354275,1.0187486747469303,4,5,9
(exp(-(xX/rB))/(xX*(rA)^2)),0.9154716541467846,1.0402565819629732,4,6,9
(((rB)^2+(rX)^2)/exp((rA)^2)),0.9154859962658285,1.0168598953214427,3,6,9
(((rB+rX)*sqrt(rX))/exp(rA)),0.915725739055344,1.0308564349322795,4,5,9
(sqrt(exp(xX))-((rB+rX)/rA)),0.9158916225699563,1.0189925067802652,4,5,9
(((rB*xX)-rA)/sqrt(log(rX))),0.9159392017150311,1.0246262362677385,4,5,9
(sqrt(log(rX))/((rB*xX)-rA)),0.9159392017150311,1.0246262362677385,4,5,9
(((rB+rX)/rA)+sqrt(exp(-rB))),0.9160557168599427,1.0221374775948444,4,6,9
((rX/(rA)^2)*log((rB+rX))),0.916102130489765,1.0595624137659514,4,5,9
(sqrt((rB/xX))/((rA*xX))^2),0.9161055002436076,1.043875682147796,4,5,9
((rA/(rB+rX))*sqrt(exp(xX))),0.9163053178737424,1.0181158195031779,4,5,9
(((rB+rX)/rA)/sqrt(exp(xX))),0.9163053178737424,1.0181158195031779,4,5,9
(exp(-(xX/rB))/((rA*xX))^2),0.9163519966716631,1.0507526462077075,4,6,9
(exp(-(rX/rA))/sqrt(exp(rB))),0.9163580590869471,1.027555359222784,3,6,8
((exp(rX)*sqrt(rB))/(exp(rA))^2),0.916393280786603,1.042334976426733,3,6,9
((xX*log(rB))+(exp(-rA)/xX)),0.9163972579550153,1.046370507197803,4,6,9
(((rX/rA))^2*sqrt((rB/rA))),0.9163987021660781,1.0409138389535597,4,5,9
((rX/exp(rA))*exp((rB*xX))),0.9164085058832246,1.0231252257267751,4,5,9
(((rB+rX)/rA)-(xX)^2),0.9164932335860715,1.019076216311341,4,4,8
(((rB+rX)/rA)-sqrt(xX)),0.9166008853195933,1.0194388152540537,4,4,8
(((rX/rA))^2*exp(sqrt(rB))),0.9166926738841917,1.0442424296346897,3,5,8
((rA-rX)/sqrt((rX-rB))),0.9168224426455358,1.0387094067253018,4,4,8
((xX+(rX/rA))*sqrt(sqrt(rB))),0.9169085976155761,1.0284232482095461,4,5,9
((exp(-rB))^2-(exp(-rA)/xX)),0.9169292835515487,1.0381672756651934,3,7,8
((rA-rX)*exp((rB-rA))),0.9169918303674747,1.0446466990384025,4,4,8
((rA-rX)*(rB/(rA)^2)),0.917209077287616,1.046329810316561,4,4,8
(log((rA*xX))*sqrt(sqrt(rB))),0.9172532439955889,1.036200919365124,3,5,8
(sqrt(log(rX))/((rB-rA)-rA)),0.9174465521274634,1.0266329824890508,4,5,9
(((rB-rA)-rA)/sqrt(log(rX))),0.9174465521274634,1.0266329824890508,4,5,9
(((rA-rX)/rA)+(exp(-rB))^2),0.9175316560763244,1.039772134031414,4,6,9
(((rA+rX)/rA)-(exp(-rB))^2),0.9175316560763244,1.039772134031414,4,6,9
((exp(-rB))^2-(rX/rA)),0.9175316560763244,1.039772134031414,3,5,7
((rB/rA)*(sqrt(rA)-sqrt(rX))),0.9176609036095766,1.0390870663422946,4,5,9
(((rB+rX)/rA)+(exp(-rB))^2),0.9177047358526244,1.0275719615893655,4,6,9
(((rA-rX)*sqrt(rB))/rX),0.9177456957993977,1.0462517354694778,4,4,8
((rB*(rA-rX))/(exp(rA))^2),0.9177791102645421,1.0433529465933402,4,5,9
(((xX)^2)^2+(rA/(rB+rX))),0.9178091939124723,1.0320395994125622,4,5,9
((rX/exp(rA))*sqrt((rA+rB))),0.9178189623488575,1.0529067176606115,4,5,9
(log((rA/rX))*sqrt((rB*xX))),0.9179002307553356,1.0510092010338965,4,5,9
((rX/rA)+sqrt((rB/rA))),0.9179180024152223,1.0266566459741857,4,4,8
((rA-rX)*(xX+(rB/rX))),0.9180627815961656,1.060569270517206,5,4,9
((rB/rA)+(rX/(rA+rB))),0.918122120002967,1.03084428350664,5,4,9
((exp(rB))^-1-(exp(-rA)/xX)),0.9181272459733063,1.0405377021055042,3,7,9
(((rX-rA)*exp(rB))-rA),0.9182078451507866,1.037688676648515,4,4,8
((rX+(rB+rX))/exp(rA)),0.9182403595345163,1.0241143794303844,4,4,8
(((rB+rX)/exp(rA))/sqrt(xX)),0.9182412616064125,1.0455314708037708,4,5,9
(((rB*xX)-(rB+rX))/rA),0.9182906081639253,1.0414693178511958,5,4,9
(rA/((rB*xX)-(rB+rX))),0.9182906081639253,1.0414693178511958,5,4,9
(exp((xX)^2)*(rA/(rB+rX))),0.9183058243151005,1.017926969628905,4,5,9
(((rB+rX)/rA)/exp((xX)^2)),0.9183058243151005,1.017926969628905,4,5,9
(sqrt((rB*xX))/exp((rB/rA))),0.9184825574129518,1.0224424124856046,4,5,9
(exp((rB/rA))/sqrt((rB*xX))),0.9184825574129518,1.0224424124856046,4,5,9
((rB/exp(rB))+(rX/exp(rA))),0.9185131635712797,1.0595186212964014,4,5,9
(exp(sqrt(rB))*(log(rX)/(rA)^2)),0.918577322470321,1.0499121489981718,3,6,9
(((rA-rX)*exp(rB))/rA),0.9186385892933306,1.0455118170332833,4,4,8
(((rB+rX)/rA)-xX),0.9187702500549147,1.0184506994527505,4,3,7
((exp(rB)/rB)/exp((rX/rA))),0.9187708487177142,1.0594118277296571,4,5,9
(((rB)^2+(rX)^2)/(exp(rA))^2),0.9188080866877549,1.0180964087787654,3,6,9
(((rA-rB)/rX)-(rX/rA)),0.9188225594237908,1.0264669524277998,5,4,9
((rA+rB)*(exp(-rA)-exp(-rX))),0.918879233354776,1.0579655233490732,4,7,9
((exp(-rB)-exp(-rX))-(rX/rA)),0.9188958324663952,1.0322405783244473,4,7,9
((rB/(rA+rX))-(rA/rX)),0.9188964561958869,1.0399194547796673,5,4,9
((rA-rX)*(xX+(rB/rA))),0.9191134906063138,1.0549017368234233,5,4,9
((exp(-rB)-exp(-rA))-(rX/rA)),0.9192638889476599,1.03861389527878,4,7,9
(((rA-rX)/rX)*exp(sqrt(rB))),0.9193197106078276,1.0537557439992402,4,5,9
(sqrt((rX/rB))-((rX/rA))^2),0.9194329142785573,1.042084373007206,4,5,9
((log(xX)/rA)+(exp(-rB)/rX)),0.919512287401805,1.0517241276049314,4,6,9
(rA/((rB+rX)-(rX*xX))),0.9197142029595317,1.033132568546336,5,4,9
(((rB+rX)-(rX*xX))/rA),0.9197142029595318,1.033132568546336,5,4,9
(sqrt(rB)*log((rA/rX))),0.9197333216860306,1.054832853204879,3,4,7
((exp(xX))^2-((rB+rX)/rA)),0.919750917786856,1.0502620038211883,4,5,9
(((rA-rX)*exp(rB))/rX),0.9197569214703436,1.0641693131188814,4,4,8
exp(((rA-rB)/(rB-rX))),0.9198561687946712,1.0306688489888705,4,4,8
(((rB+rX)/rA)-sqrt(exp(-rA))),0.9198989222778744,1.0249000992671213,4,6,9
((rA*xX)/sqrt(exp(rB))),0.9199576690497654,1.0206282143850782,3,4,7
(sqrt(exp(rB))/(rA*xX)),0.9199576690497654,1.0206282143850782,3,4,7
(exp(rB)/((rA*xX))^2),0.9199576690497654,1.0206282143850782,3,4,7
((rX/rA)+(log(rB)/exp(rX))),0.9200481793256707,1.0589769771908224,4,5,9
(((rX)^2*exp(rB))/(exp(rA))^2),0.9200819581100758,1.031100013929798,3,6,9
((rX/exp(rA))*sqrt(exp(rB))),0.9200819581100758,1.031100013929798,3,5,8
((rX/rA)+(xX*log(rB))),0.9201133705634152,1.0581589813717616,4,4,8
((rA/sqrt(rX))/sqrt((rA+rB))),0.9201259144190592,1.0319939482032698,4,5,9
(((rA)^2/(rA+rB))/rX),0.9201259144190592,1.0319939482032698,4,4,8
((rA+rB)*(rX/(rA)^2)),0.9201259144190593,1.0319939482032698,4,4,8
((sqrt(rX)/rA)*sqrt((rA+rB))),0.9201259144190593,1.0319939482032698,4,5,9
(((rX/rA))^2*exp((rB/rX))),0.9202502759864203,1.026626832878692,4,5,9
(exp((rB/rA))/(rA*(xX)^2)),0.9202845511447553,1.0499540942370618,4,5,9
((sqrt(rB)/rA)/exp((rA-rX))),0.9202903985633868,1.0426459641040118,4,5,9
(sqrt((rB*rX))/((rA*xX))^2),0.9203826183352661,1.043500187685892,4,5,9
((exp(rB)/rA)*exp((rX-rA))),0.9205331391880293,1.0264665986384274,4,5,9
(exp(-sqrt(rA))-exp(-(rB+rX))),0.9205594953372144,1.0517892309620662,3,7,8
(sqrt((rB/rX))/exp((rB/rA))),0.9206246349301405,1.0370170893158013,4,5,9
(log((rA/rX))*(sqrt(rB)/rX)),0.9206328268942634,1.0384470834830277,4,5,9
(sqrt(exp(rB))*(log(rX)/(rA)^2)),0.9206591266785682,1.050716805823833,3,6,9
((log(xX))^2/((rB-rA)-rA)),0.9207489707221724,1.0509760297431634,4,5,9
exp(((rB-rA)+(rX-rA))),0.9207887548109612,1.0483468329529597,4,4,8
(((rB+rX)-rA)-rA),0.9207887548109612,1.0482040328436848,4,3,7
((exp(-xX))^-1-(exp(-rA)/xX)),0.9207890723868214,1.074765325206022,3,8,9
(((rB+rX)/rA)+sqrt(exp(-xX))),0.9207956833165137,1.0314530849763053,4,6,9
(((rA-rB)+(rA-rX))/xX),0.9209374106886411,1.0500135335235816,5,4,9
(exp((rB-rA))*log((rA/rX))),0.9210943122721584,1.0319146005451514,4,5,9
((rA-rB)*(rB/exp(rX))),0.9211079718449372,1.022531368337066,4,4,8
(sqrt(rB)*(exp(-rA)-exp(-rX))),0.9211370877618437,1.0532117388870916,3,7,8
(log((rA*xX))*sqrt(exp(rB))),0.9211455109329867,1.0242946957768175,3,5,8
(exp((rX-rA))*sqrt((rB/rA))),0.9212259028242367,1.0344602000611645,4,5,9
(exp((rB-rA))/(xX*sqrt(rB))),0.9212444771389426,1.0363540709144299,4,5,9
((rA*exp(xX))/sqrt((rB+rX))),0.9213208079841925,1.0352404515419118,4,5,9
(sqrt((rB+rX))/(rA*exp(xX))),0.9213208079841927,1.0350852965869575,4,5,9
(log((rA/rX))*(rB/sqrt(rA))),0.9213586550008417,1.0466344246114387,4,5,9
(sqrt((rB+rX))/(xX*exp(rA))),0.9213938367226933,1.0528036925153235,4,5,9
(exp((rB/rA))*log((rA/rX))),0.9214119498326817,1.0359430770567954,4,5,9
(((rA+rX)+(rB+rX))/rA),0.9215034792146587,1.0332002637034758,5,4,9
(((rA-rX)-(rB+rX))/rA),0.9215034792146587,1.0332002637034758,5,4,9
(rA/((rA+rX)+(rB+rX))),0.9215034792146587,1.0332002637034758,5,4,9
(rA/(rX+(rB+rX))),0.9215034792146587,1.0332002637034758,4,3,7
((rX+(rB+rX))/rA),0.9215034792146587,1.0332002637034758,4,3,7
(exp(sqrt(rA))/sqrt((rB+rX))),0.9215275323925706,1.044413714009051,3,5,8
(sqrt((rB+rX))/exp(sqrt(rA))),0.9215275323925706,1.044413714009051,3,5,8
(sqrt(exp(rB))/((rA*xX))^2),0.9215384571048957,1.0340895711239049,3,5,8
((exp(-rB)/exp(xX))-(rX/rA)),0.921550270822081,1.048194561873958,4,6,9
(exp((rB)^2)*(exp(-rA)-exp(-rX))),0.9215628502176332,1.037515636923906,3,8,9
(sqrt((rB/rA))/((rA*xX))^2),0.9216227529303664,1.0440866543704166,4,5,9
exp(-((rB/rX)+(rX/rA))),0.9216324804722269,1.02647409784347,4,5,8
(((rB/rX)+(rX/rA)))^-1,0.9216324804722269,1.02647409784347,4,5,9
sqrt(((rB/rX)+(rX/rA))),0.9216324804722269,1.02647409784347,4,4,8
(((rA-rX)/rA)-(rB/rX)),0.9216324804722269,1.02647409784347,5,4,9
exp(((rB/rX)+(rX/rA))),0.9216324804722269,1.02647409784347,4,4,8
((rB/rX)+(rX/rA)),0.9216324804722269,1.02647409784347,4,3,7
log(((rB/rX)+(rX/rA))),0.9216324804722269,1.02647409784347,4,4,8
(((rB/rX)+(rX/rA)))^2,0.9216324804722269,1.02647409784347,4,4,8
((rB/rX)+((rA+rX)/rA)),0.9216324804722269,1.02647409784347,5,4,9
((sqrt(rB)+sqrt(rX))/(rA*xX)),0.9217467122278066,1.0516632437889029,4,5,9
(rX*((rA-rB)+(rA-rX))),0.9217924064514924,1.0491117370853291,5,4,9
(((rB+rX)*log(xX))/(rA)^2),0.9218234134365522,1.0324868176454765,4,5,9
(exp(-(rX/rA))/sqrt(sqrt(rB))),0.9218249662795565,1.0537208433664056,3,6,8
(exp((rB-rA))-exp((rA-rX))),0.9218338820418773,1.0427644805765064,4,5,9
(((rX-rA)/sqrt(xX))-rA),0.921846401560485,1.0777116246778937,4,4,8
((rA-rX)/(exp(rA)+exp(-rB))),0.9218834510220597,1.070418685988722,4,6,9
(exp((rB/rX))*log((rA/rX))),0.9219152499316189,1.0357375373044821,4,5,9
(exp((rB*xX))*log((rA*xX))),0.9219915594936565,1.036403305366025,4,5,9
(sqrt(exp(-rA))-(exp(-rA)/xX)),0.922028949413795,1.074306396901069,3,7,8
((xX/log(xX))+(exp(-rA)/xX)),0.9220375343208009,1.0756592514942054,4,6,9
(((rB+rX)/xX)/(exp(rA))^2),0.9220791430705486,1.0424204307636242,4,5,9
