Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total
(((iB/nA)-iX)/(nX/rA)),0.9264705882352942,0.8403508771929825,5,4,9
(((iX*rA))^2*(sqrt(nA)/iB)),0.9117647058823529,0.8675438596491227,4,5,9
((rA/rX)+(log(rB)/exp(nA))),0.8970588235294118,0.8403289473684211,4,5,9
((iB-iX)*((rA)^2*sqrt(nA))),0.8970588235294118,0.8529166666666667,4,5,9
((exp(rA))^2*((iB/nA)-iX)),0.8970588235294118,0.8486622807017543,4,5,9
((log(rA)/iX)*exp((iX-iB))),0.8823529411764706,0.8361622807017544,4,5,9
((nB*log(rA))*exp((iX-iB))),0.8823529411764706,0.8298464912280702,4,5,9
(exp((rX/rA))*(rX/sqrt(rB))),0.8676470588235294,0.8172587719298245,4,5,9
((exp(rX)/rA)+(exp(-xA)/rB)),0.8676470588235294,0.8109429824561405,4,6,9
((exp(rX)/rA)+(exp(-rB)/rB)),0.8676470588235294,0.8067324561403508,4,6,9
((rB)^-1+(exp(rX)/rA)),0.8676470588235294,0.8067324561403508,3,5,8
(exp((rB+rX))/(rA*rB)),0.8676470588235294,0.8255921052631578,4,4,8
(((rX/rA)*sqrt(rX))-sqrt(rB)),0.8676470588235294,0.7983114035087719,4,5,9
((exp(rX)/rA)+(exp(-xB)/rB)),0.8676470588235294,0.7983114035087718,4,6,9
((rX/rA)+(exp(-rB)/log(iA))),0.8676470588235294,0.7961842105263159,4,6,9
(((rX/rA))^2+sqrt((rX/rB))),0.8676470588235294,0.7878070175438596,4,5,9
(sqrt((rB/rX))-(rX/rA)),0.8676470588235294,0.785701754385965,4,4,8
(sqrt((iX-iB))/exp((rA)^-1)),0.8676470588235294,0.8172807017543858,3,6,9
((exp(-rX)-exp(-rB))-(rX/rA)),0.8676470588235294,0.7814912280701755,4,7,9
((vX/rA)/sqrt((iX-iB))),0.8676470588235294,0.8298245614035087,4,4,8
(((vX/rA))^2/(iB-iX)),0.8676470588235294,0.8298245614035087,4,4,8
((rX*log(rA))*exp((iX-iB))),0.8676470588235294,0.8424342105263157,4,5,9
((log(rA)/iB)*exp((iX-iB))),0.8676470588235294,0.8362061403508771,4,5,9
((rA*log(rA))*exp((iX-iB))),0.8676470588235294,0.8340131578947367,4,5,9
((rB/(rA)^2)+(log(rX)/rB)),0.8529411764705882,0.8214254385964912,4,5,9
(((iB-iX))^2*(nA*log(rA))),0.8529411764705882,0.8592105263157894,4,5,9
((nX*log(rA))*exp((iX-iB))),0.8529411764705882,0.8403508771929825,4,5,9
((nA*log(rA))*exp((iX-iB))),0.8529411764705882,0.8676315789473683,4,5,9
((iB/(rA*xX))-(iX/rX)),0.8382352941176471,0.8213815789473683,5,4,9
(((iB/rA)*exp(rX))/vX),0.8382352941176471,0.8256140350877195,4,4,8
(exp((rX/rA))*(iB/sqrt(iX))),0.8382352941176471,0.8318859649122807,4,5,9
(((rA)^2/rX)*log((iB/iX))),0.8382352941176471,0.8339912280701756,4,5,9
((rX/(rA)^2)/log((iB/iX))),0.8382352941176471,0.8339912280701756,4,5,9
((iB+(iB/xX))/(rA*xX)),0.8382352941176471,0.8234868421052631,5,4,9
((iB/log(iX))*exp((rX/rA))),0.8382352941176471,0.8234868421052631,4,5,9
((xA*log(rA))*exp((iX-iB))),0.8382352941176471,0.8425,4,5,9
(((iB/rA)*log(xX))/xX),0.8382352941176471,0.8276973684210527,4,4,8
(((iA-iX)+(iB/xX))/rA),0.8235294117647058,0.8213815789473685,5,4,9
((exp(rX)/rA)*exp((iB/vX))),0.8235294117647058,0.821359649122807,4,5,9
((iB-iX)*((rA)^2*sqrt(iA))),0.8235294117647058,0.8151315789473683,4,5,9
((rA/(iB*vX))*exp(sqrt(iX))),0.8235294117647058,0.8255921052631578,4,5,9
(((iB*vX)/rA)/exp(sqrt(iX))),0.8235294117647058,0.8255921052631578,4,5,9
((iB/(rA*xX))/(exp(xX))^2),0.8235294117647058,0.825592105263158,4,5,9
((iB-iX)*((rA)^2*log(iA))),0.8088235294117647,0.8151315789473685,4,5,9
