Compound,Type,Label,n,criterion,t_RP,p_Label,A1,A2,B1,B2,X1,X2,cnA1,cnA2,cnB1,cnB2,cnX,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,Source,train,Substance,fold_1,fold_2,fold_3,fold_4,fold_5,rf_label,"cand_(((self.df[""vX""]/self.df[""rA""]))**2/(self.df[""iB""]-self.df[""iX""]))","cand_((self.df[""vX""]/self.df[""rA""])/np.sqrt((self.df[""iX""]-self.df[""iB""])))","cand_((self.df[""rB""])**-1+(np.exp(self.df[""rX""])/self.df[""rA""]))","cand_(np.sqrt((self.df[""rB""]/self.df[""rX""]))-(self.df[""rX""]/self.df[""rA""]))","cand_(((self.df[""iB""]/self.df[""rA""])*np.exp(self.df[""rX""]))/self.df[""vX""])","cand_(np.exp((self.df[""rB""]+self.df[""rX""]))/(self.df[""rA""]*self.df[""rB""]))","cand_(((self.df[""iB""]/self.df[""rA""])*np.log(self.df[""xX""]))/self.df[""xX""])","cand_((np.exp(self.df[""rX""])/self.df[""rA""])+(np.exp(-self.df[""xB""])/self.df[""rB""]))","cand_((np.exp(self.df[""rX""])/self.df[""rA""])*np.exp((self.df[""iB""]/self.df[""vX""])))","cand_((self.df[""nX""]*np.log(self.df[""rA""]))*np.exp((self.df[""iX""]-self.df[""iB""])))","cand_((np.exp(self.df[""rX""])/self.df[""rA""])+(np.exp(-self.df[""rB""])/self.df[""rB""]))","cand_((self.df[""nB""]*np.log(self.df[""rA""]))*np.exp((self.df[""iX""]-self.df[""iB""])))","cand_((np.log(self.df[""rA""])/self.df[""iB""])*np.exp((self.df[""iX""]-self.df[""iB""])))","cand_(((self.df[""rA""])**2/self.df[""rX""])*np.log((self.df[""iB""]/self.df[""iX""])))","cand_((self.df[""xA""]*np.log(self.df[""rA""]))*np.exp((self.df[""iX""]-self.df[""iB""])))","cand_(((self.df[""iA""]-self.df[""iX""])+(self.df[""iB""]/self.df[""xX""]))/self.df[""rA""])","cand_((np.exp(-self.df[""rX""])-np.exp(-self.df[""rB""]))-(self.df[""rX""]/self.df[""rA""]))","cand_((self.df[""rA""]*np.log(self.df[""rA""]))*np.exp((self.df[""iX""]-self.df[""iB""])))","cand_((self.df[""rA""]/self.df[""rX""])+(np.log(self.df[""rB""])/np.exp(self.df[""nA""])))","cand_((self.df[""iB""]-self.df[""iX""])*((self.df[""rA""])**2*np.log(self.df[""iA""])))","cand_((self.df[""rB""]/(self.df[""rA""])**2)+(np.log(self.df[""rX""])/self.df[""rB""]))","cand_(np.exp((self.df[""rX""]/self.df[""rA""]))*(self.df[""iB""]/np.sqrt(self.df[""iX""])))","cand_((self.df[""iB""]-self.df[""iX""])*((self.df[""rA""])**2*np.sqrt(self.df[""nA""])))","cand_((self.df[""rA""]/(self.df[""iB""]*self.df[""vX""]))*np.exp(np.sqrt(self.df[""iX""])))","cand_((self.df[""iB""]/(self.df[""rA""]*self.df[""xX""]))-(self.df[""iX""]/self.df[""rX""]))","cand_((self.df[""iB""]-self.df[""iX""])*((self.df[""rA""])**2*np.sqrt(self.df[""iA""])))","cand_((self.df[""rX""]/self.df[""rA""])+(np.exp(-self.df[""rB""])/np.log(self.df[""iA""])))","cand_(np.exp((self.df[""rX""]/self.df[""rA""]))*(self.df[""rX""]/np.sqrt(self.df[""rB""])))","cand_(((self.df[""iB""]-self.df[""iX""]))**2*(self.df[""nA""]*np.log(self.df[""rA""])))","cand_(((self.df[""rX""]/self.df[""rA""])*np.sqrt(self.df[""rX""]))-np.sqrt(self.df[""rB""]))","cand_((self.df[""iB""]/np.log(self.df[""iX""]))*np.exp((self.df[""rX""]/self.df[""rA""])))","cand_(((self.df[""iB""]*self.df[""vX""])/self.df[""rA""])/np.exp(np.sqrt(self.df[""iX""])))","cand_((self.df[""nA""]*np.log(self.df[""rA""]))*np.exp((self.df[""iX""]-self.df[""iB""])))","cand_((self.df[""rX""]*np.log(self.df[""rA""]))*np.exp((self.df[""iX""]-self.df[""iB""])))","cand_(((self.df[""iX""]*self.df[""rA""]))**2*(np.sqrt(self.df[""nA""])/self.df[""iB""]))","cand_((np.exp(self.df[""rA""]))**2*((self.df[""iB""]/self.df[""nA""])-self.df[""iX""]))","cand_(np.sqrt((self.df[""iX""]-self.df[""iB""]))/np.exp((self.df[""rA""])**-1))","cand_((self.df[""iB""]+(self.df[""iB""]/self.df[""xX""]))/(self.df[""rA""]*self.df[""xX""]))","cand_(((self.df[""rX""]/self.df[""rA""]))**2+np.sqrt((self.df[""rX""]/self.df[""rB""])))","cand_((np.exp(self.df[""rX""])/self.df[""rA""])+(np.exp(-self.df[""xA""])/self.df[""rB""]))","cand_((np.log(self.df[""rA""])/self.df[""iX""])*np.exp((self.df[""iX""]-self.df[""iB""])))","cand_((self.df[""rX""]/(self.df[""rA""])**2)/np.log((self.df[""iB""]/self.df[""iX""])))","cand_(((self.df[""iB""]/self.df[""nA""])-self.df[""iX""])/(self.df[""nX""]/self.df[""rA""]))","cand_((self.df[""iB""]/(self.df[""rA""]*self.df[""xX""]))/(np.exp(self.df[""xX""]))**2)"
Sr2RuO4,RP,1,1,1.83,1.726682038,1,Sr,Sr,Ru,Ru,O,O,9,9,6,6,6,1.31,0.62,1.4,2.0,4.0,-2.0,0.1185082,0.1376494,0.304575,5.6948672,7.3605,13.618054,2.0,8.0,6.0,Handbook,True,Sr2RuO4,,,,,fold_test,train,-3.3523959196502506,1.8309549201578532,4.7084757195810125,-0.4032271644276433,3.797493556737942,9.281365345557647,-21.931302061318156,4.501063062308857,10.55630026067403,-281.8763116985411,3.9632248124756484,563.7526233970822,19.147905149007613,-0.7541873955788602,16.702327161016523,12.39944630739994,-1.3600497637294038,184.6289841625444,0.8710191751964239,-18.680475548333423,0.9039814632819572,5.807394092105097,-15.186657383458142,1.188158420831646,8.72049907730179,-25.626482445589257,1.37794302074661,5.176827553115727,21.146895536704715,0.4771048150933931,8.206652067334781,0.841638608511527,281.8763116985411,197.31341818897874,61.147735176973946,-136.50292878668176,1.1659496536864769,79.01627775079884,2.644810352408226,4.52822496477743,10.34936091818042,-1.3259304065039057,6.50926162,10.032086886063297
SrSmCrO4,RP,1,1,1.83,1.762480968,1,Sr,Sm,Cr,Cr,O,O,9,9,6,6,6,1.221,0.615,1.4,2.5,3.0,-2.0,0.1519881,0.1313053,0.304575,5.6692886,6.76651,13.618054,5.0,6.0,6.0,Handbook,True,SrSmCrO4,,,,,fold_test,train,-3.5243799492296097,1.8773332014401731,4.947228354220484,-0.4838148203347439,3.7455024744272674,9.988783525702589,-21.63104292628233,4.747147054516839,10.258241912866,-377.51219871033703,4.200302980739698,566.2682980655055,27.89563591203863,-0.7447932478072598,28.688680904403288,11.685069892157161,-1.4406450779688567,230.47119731266076,0.8322386295894747,-17.722916379519102,0.9596281678766381,5.771248210727389,-16.150641730745612,1.2046511725191287,8.467933836231106,-24.32114751135619,1.4581983019260203,5.618922327302375,23.433121976561758,0.5724574154692703,8.155572931421261,0.8301158234120435,471.89024838792136,264.2585390972359,64.60508588617624,-125.43813597581565,1.154002339253523,77.93447425619229,2.823476070318712,4.717957627005013,13.860724840360342,-1.3426544922958048,6.661440225000001,9.894738646428838
SrTbFeO4,RP,1,1,1.83,1.760982383,1,Sr,Tb,Fe,Fe,O,O,9,9,6,6,6,1.2025,0.645,1.4,2.5,3.0,-2.0,0.1586856,0.1392532,0.304575,5.7793336,7.9024678,13.618054,6.5,8.0,6.0,Handbook,True,SrTbFeO4,fold_test,,,,,train,-4.355836318642349,2.087064042774526,4.922695261634921,-0.48548179177233,4.441592122044506,9.96523204294655,-25.651103025281905,4.721156834680434,12.587134786842947,-111.95535540699683,4.1857379625753754,167.93303311049522,7.0835692242236545,-0.5621053092342894,8.882851372986268,15.057932801069216,-1.4423067424061506,67.31315743845684,0.8229338922109308,-14.498795898004662,0.9677185456703503,6.8600727626657445,-13.067754093379772,1.0158573375294933,11.84943777582419,-19.868717324745877,1.463315448443196,5.584337934336004,15.060136092761843,0.5744298026734518,9.69423280509461,0.9843901924574788,139.94419425874605,78.36874878489778,53.65467189530931,-115.8478863862407,1.0408082767508966,92.41834687211497,2.828733645810316,4.6951984913822535,4.110548959748464,-1.7790260713997155,6.2873114616,11.733644156352584
La2CuO4,RP,1,1,1.83,1.745244374,1,La,La,Cu,Cu,O,O,9,9,6,6,6,1.216,0.73,1.4,3.0,2.0,-2.0,0.163142,0.1511716,0.304575,5.5769,7.72638,13.618054,3.0,11.0,6.0,Handbook,True,La2CuO4,fold_test,,,,,train,-4.1323456657658815,2.032817174702605,4.704731407485369,-0.4292156776965348,4.294410076730998,9.47961744259207,-24.8010966077474,4.512539847832177,12.08739551219266,-141.59456906671113,3.995017695280167,141.59456906671113,9.16306013079289,-0.5985979341912362,11.550010593340696,14.248838762733447,-1.38662781562228,86.08949799256037,0.852902903201993,-14.97231727372324,0.95461244064341,6.62107690296877,-15.089209402070441,1.0506737518944067,11.134448452583074,-20.573220783116795,1.4317182788095657,5.181752909345499,20.36543844489251,0.507854838681974,9.356498558897506,0.9517702314319361,212.3918536000667,99.1161983466978,61.47263328876028,-125.68263717991015,1.0665206944845762,89.3558591552397,2.710377576527041,4.498526688349764,5.198781304094958,-1.670570416102583,6.713897152,11.344823729249088
Tl2UO4,RP,1,1,1.83,1.595640242,1,Tl,Tl,U,U,O,O,9,9,6,6,6,1.59,0.73,1.4,1.0,6.0,-2.0,0.173447,0.13207,0.304575,6.108287,6.19405,13.618054,3.0,6.0,6.0,Handbook,True,Tl2UO4,fold_test,,,,,train,-1.9180947424365389,1.384952974810531,3.920303244418551,-0.1584030328769387,2.632925718515121,7.249820635340853,-15.205684585116215,3.7508233175099255,7.160699347499612,-1554.185741499745,3.210589532213349,4662.557224499235,125.45795896866711,-1.4226110930937084,134.78442715295313,8.067252627978878,-1.115815170802684,1235.5776644922973,1.0199386727720086,-33.96457329026253,0.7496752726218067,4.0486929162693475,-18.768624512400002,1.7136920786495753,3.0631950987785164,-46.386559607774174,1.1468032334806417,3.9524306879616886,25.559087704329123,0.18742499607698415,5.72136375874252,0.583535404323057,777.0928707498725,1087.9300190498213,75.69194163102952,-178.5231945575411,1.4527066179811945,54.784553749216315,2.1601353171813664,3.7021686010647166,57.06342996950022,-0.7029328007173984,5.902083180000001,6.955571926074262
Rb2NpO4,RP,1,1,1.83,1.589547985,1,Rb,Rb,Np,Np,O,O,9,9,6,6,6,1.63,0.72,1.4,1.0,6.0,-2.0,0.104686,0.14265,0.304575,4.177128,6.2655,13.618054,1.0,7.0,6.0,Handbook,True,Rb2NpO4,,,,,fold_test,train,-1.842846105367771,1.3575146796140993,3.876741629284395,-0.1417585399208362,2.5979402241580076,7.0987879070276865,-15.003636198977674,3.692099248610066,7.068653330549822,-1524.5417569114475,3.163897540339911,4573.625270734343,121.6616197359706,-1.473323201478014,79.7990891820159,6.828442858977284,-1.0990509975398377,1242.5015318828298,1.0434358217054958,-27.92770448700661,0.7383150609309203,4.007853827561495,-19.5350007226,1.736769732242185,2.89324057151015,-39.92568016490645,1.1993714390830748,3.8947129346908547,26.412660187868397,0.16773096642147578,5.66365247095029,0.5757815681811723,762.2708784557237,1067.1792298380133,78.64109978502611,-191.5306285153718,1.4681849873206192,54.05659371503382,2.1321352105200204,3.738696169388842,55.975022455904764,-0.6787376992345033,5.9923315100000005,6.863148459411705
Sr2TiO4,RP,1,1,1.83,1.734488901,1,Sr,Sr,Ti,Ti,O,O,9,9,6,6,6,1.31,0.605,1.4,2.0,4.0,-2.0,0.1185082,0.1233637,0.304575,5.6948672,6.82812,13.618054,2.0,4.0,6.0,Handbook,True,Sr2TiO4,,,,,fold_test,train,-3.089543800660081,1.7577098169664074,4.7484650557580315,-0.4113265549424191,3.522823409365325,9.369874325604473,-20.345025776907512,4.556633839797429,9.659992412676857,-480.0298856440026,3.998174851856725,960.0597712880052,35.1509555810386,-0.8462175308561758,28.443738846938295,11.065138020229666,-1.3681797527744386,314.4195750968217,0.8677046760668476,-20.269772512038692,0.9086960152928569,5.387349194780878,-16.478707385392674,1.2807976509685435,7.38619079013152,-27.806731585170443,1.382616595891042,5.240610175046235,24.898232236076694,0.4866881431893719,7.613070459073427,0.7807634556823217,480.0298856440026,336.0209199508018,65.91534782196516,-140.15924104779367,1.2145356613857947,73.30108368124237,2.663324633058178,4.563745273975848,17.624760690624466,-1.1817292404569213,6.683616070000001,9.3064728087041
Sr2SnO4,RP,1,1,1.83,1.701856008,1,Sr,Sr,Sn,Sn,O,O,9,9,6,6,6,1.31,0.69,1.4,2.0,4.0,-2.0,0.1185082,0.178052,0.304575,5.6948672,7.343917,13.618054,2.0,4.0,6.0,Handbook,True,Sr2SnO4,,,fold_test,,,train,-3.343535293633388,1.8285336457482504,4.544847856093401,-0.366664440058872,3.7889379102938983,8.944479659591835,-21.88189145306018,4.308469455534377,10.527164687617574,-286.58963911809354,3.822494333000728,573.1792782361871,19.51204235546872,-0.7569521720562439,16.981611135267425,12.357884200772821,-1.3236813952007846,187.71621362235126,0.8854962772944374,-18.729980247137142,0.8897153938241018,5.794310196142951,-15.226903195062786,1.1908413529906903,8.678936970674675,-25.694394597589095,1.357036436216499,4.907214000335741,21.25912585283838,0.4338432162027668,8.188162710466006,0.8397424203388558,286.58963911809354,200.61274738266545,61.285810388395824,-136.61681853878744,1.1674935596823663,78.83825629384054,2.5665492080382437,4.382883409748153,10.522415284815786,-1.3210874305090137,6.514692552500001,10.009484875760792
Sr2RhO4,RP,1,1,1.83,1.737303217,1,Sr,Sr,Rh,Rh,O,O,9,9,6,6,6,1.31,0.6,1.4,2.0,4.0,-2.0,0.1185082,0.1408379,0.304575,5.6948672,7.4589,13.618054,2.0,9.0,6.0,Handbook,True,Sr2RhO4,fold_test,,,,,train,-3.4059545347609594,1.8455228350689568,4.7622391604412275,-0.41404861936835846,3.8482609456358445,9.400834731463931,-22.224494116590723,4.543289335818063,10.73085098867256,-255.46064429838478,4.010258553931271,510.92128859676956,17.124552165760687,-0.7379088570469916,15.137090563320921,12.646067020908248,-1.3709169622287556,167.32672201544202,0.8665815552373961,-18.38672517974595,0.91041703597854,5.885031151905809,-14.947847285050317,1.1724838858989035,8.9671197908101,-25.22350615922465,1.3841900978970023,5.262400747933853,20.487055027702137,0.4899089332530908,8.316363984110236,0.8528901864039983,255.46064429838478,178.82245100886934,60.34105629115778,-135.82713118629596,1.1567460529383449,80.07261926709238,2.669649816466351,4.575980047144192,9.379484186888405,-1.3551809148922005,6.477035620000001,10.166202414843763
Ba2IrO4,RP,1,1,1.83,1.677432541,1,Ba,Ba,Ir,Ir,O,O,9,9,6,6,6,1.47,0.625,1.4,2.0,4.0,-2.0,0.1586786,0.25106,0.304575,5.211664,8.96702,13.618054,2.0,9.0,6.0,Handbook,True,Ba2IrO4,,,,,fold_test,train,-3.581940083546069,1.8926014064102534,4.35863943322767,-0.2842278475998914,4.12279582842353,8.246107150625138,-23.809989220355238,4.003400539814992,12.29559333258845,-80.66869358050087,3.615057718858054,161.33738716100174,4.498077041230022,-0.6449406859737792,6.4001976805914325,14.3093197574852,-1.241045416958336,59.29148978166813,0.9863919257137925,-16.592229203802887,0.8275869173879618,6.298025355002009,-14.21343938143979,1.0944087787188352,10.300770981974997,-22.9441719181936,1.2766051276526693,4.589885157583049,16.668082866599626,0.33630292459592714,8.899981985038453,0.9137353605392727,80.66869358050087,56.4680855063506,63.20211806508477,-172.78763043653146,1.0922859165476697,85.78499882127096,2.403692433167626,4.123872322923696,2.961828965449133,-1.5505301832371237,6.713889840000001,10.891459154909729
