Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total
((rX/(rA)^2)+(log(rA)/rB)),0.9558823529411765,0.874013157894737,4,5,9
(((rB/rA))^2+sqrt((rX/rB))),0.9117647058823529,0.8445394736842105,4,5,9                                                        
(rB/((rA-rX)+(rX*xX))),0.9117647058823529,0.7667763157894736,5,4,9
(exp((rA-rB))+exp((rX/rA))),0.9117647058823529,0.8319736842105263,4,5,9
(((xX)^2/rB)+(log(rX)/rA)),0.8970588235294118,0.8025438596491228,4,5,9
(((rA-rX))^2/(rA*rB)),0.8970588235294118,0.7919956140350879,4,4,8
((xX*(rB)^2)/((rA-rX))^2),0.8970588235294118,0.7877850877192982,4,5,9
((rB*sqrt(xX))/((rA-rX))^2),0.8970588235294118,0.7794298245614035,4,5,9
((rB/sqrt(rX))/((rA-rX))^2),0.8970588235294118,0.7794298245614035,4,5,9
((rB*(xX)^2)/((rA-rX))^2),0.8970588235294118,0.7794298245614035,4,5,9
(((rA-rX))^2*(log(xX)/rB)),0.8970588235294118,0.7815350877192981,4,5,9
((rB/log(xX))/((rA-rX))^2),0.8970588235294118,0.7815350877192981,4,5,9
(sqrt(xX)+((rA+rB)/rX)),0.8970588235294118,0.7899561403508771,4,4,8
(((rA-rX))^2*exp((rX/rB))),0.8970588235294118,0.8025438596491229,4,5,9
(((rB)^2/rX)/((rA-rX))^2),0.8970588235294118,0.8004166666666667,4,5,9
(exp(-(rX/rB))/((rA-rX))^2),0.8970588235294118,0.8025438596491229,4,6,9
(((rA-rX))^2*exp((rB)^-1)),0.8970588235294118,0.7899342105263158,3,6,9
(((rB/rX))^2/((rA-rX))^2),0.8970588235294118,0.7941228070175439,4,5,9
(exp(-(rB)^-1)/((rA-rX))^2),0.8970588235294118,0.7899342105263158,3,7,9
(((rA-rX)*(rX/rB)))^2,0.8970588235294118,0.7941228070175439,4,4,8
(((rA-rX))^2/(rB*(xX)^2)),0.8970588235294118,0.7773245614035087,4,5,9
(((rA-rX))^2/(rB*sqrt(xX))),0.8970588235294118,0.7794298245614035,4,5,9
(((rA-rX))^2/(xX*(rB)^2)),0.8970588235294118,0.7857017543859649,4,5,9
(((rB*xX)/(rA-rX)))^2,0.8970588235294118,0.7983333333333335,4,4,8
((xX*(rB)^2)-((rA-rX))^2),0.8970588235294118,0.7920394736842106,4,5,9
((rB*exp(xX))/((rA-rX))^2),0.8970588235294118,0.783640350877193,4,5,9
((rA*rB)/((rA-rX))^2),0.8970588235294118,0.7898903508771931,4,4,8
((rX/(rA+rB))-(exp(-rX))^2),0.8970588235294118,0.792061403508772,4,6,9
(exp((rA*rB))/((rA-rX))^2),0.8970588235294118,0.7836184210526316,4,5,9
(((rA-rX)/(rB*xX)))^2,0.8970588235294118,0.7983333333333335,4,4,8
(((rA-rX))^2*(rX/(rB)^2)),0.8970588235294118,0.8004166666666667,4,5,9
((rX/rB)+(rB/(rA*xX))),0.8823529411764706,0.8487938596491228,5,4,9
((log(xX)/rB)-(exp(rX)/rA)),0.8823529411764706,0.8130701754385965,4,5,9
(((rX/rA)*log(xX))/sqrt(rB)),0.8823529411764706,0.8025438596491229,4,5,9
((rA/log(rX))/exp((xX/rB))),0.8823529411764706,0.8193859649122807,4,5,9
(xX+((rA+rB)/rX)),0.8823529411764706,0.79625,4,3,7
(((rA)^2*(rB/rX))/log(rX)),0.8823529411764706,0.7962719298245615,4,5,9
((rX/rB)+(rX/(rA*xX))),0.8823529411764706,0.8173026315789473,5,4,9
((rA/log(rX))*sqrt((rB/xX))),0.8823529411764706,0.8025657894736842,4,5,9
(((rB/rX))^2*log((rA/rB))),0.8823529411764706,0.8276973684210527,4,5,9
((rB*sqrt(rA))/((rA-rX))^2),0.8823529411764706,0.781513157894737,4,5,9
((exp(rX)/rB)/((rA*xX))^2),0.8823529411764706,0.8067324561403509,4,5,9
((log(rX)/rA)*exp((xX/rB))),0.8823529411764706,0.8193859649122807,4,5,9
((rX/rB)+(exp(-rA)/(xX)^2)),0.8823529411764706,0.8004166666666667,4,6,9
((exp(rX)/rA)+(exp(-xX)/rB)),0.8823529411764706,0.8193640350877193,4,6,9
((exp(rB)/rB)+(exp(rX)/rA)),0.8823529411764706,0.8256578947368421,4,5,9
((rX/(rA+rB))-sqrt(sqrt(xX))),0.8823529411764706,0.8004824561403507,4,5,9
(((rX/rA))^2*(exp(rX)/rB)),0.8823529411764706,0.8256140350877192,4,5,9
((log(rX)/rB)-(log(xX)/rA)),0.8823529411764706,0.8088596491228071,4,5,9
((rB/log(rX))/((rA-rX))^2),0.8823529411764706,0.7794078947368421,4,5,9
(((rA*rB)/log(rX))-(rB)^2),0.8823529411764706,0.8214692982456141,4,5,9
((rX/(rA+rB))-(xX)^2),0.8823529411764706,0.7878508771929823,4,4,8
(exp((xX)^-1)/(rB*(rA)^2)),0.8823529411764706,0.7899342105263158,3,6,9
((rX/rA)/(xX+(rB/rX))),0.8823529411764706,0.800482456140351,5,4,9
(exp(rB)+exp((rX/rA))),0.8823529411764706,0.783530701754386,3,4,7
((rA/rX)*(xX+(rB/rX))),0.8823529411764706,0.800482456140351,5,4,9
(((rA+rB)/(rA-rX)))^2,0.8676470588235294,0.7835964912280702,4,4,8
(((rA-rX)/rB)/sqrt(sqrt(xX))),0.8676470588235294,0.7835964912280702,4,5,9
((rA/rX)+(rB/(rB+rX))),0.8676470588235294,0.7835964912280702,5,4,9
(((rX)^2/(rA+rB))-rA),0.8676470588235294,0.7835964912280702,4,4,8
(sqrt((rB/rX))/((rA-rX))^2),0.8676470588235294,0.7689035087719297,4,5,9
((rX+(rB+rX))/(rA+rB)),0.8676470588235294,0.7835964912280702,5,4,9
(((rA-rX)*sqrt(rA))/rB),0.8676470588235294,0.7835964912280702,4,4,8
((rA+rX)/((rB*xX)-rX)),0.8676470588235294,0.7835964912280702,5,4,9
(((rA-rX)/rB)/exp(sqrt(xX))),0.8676470588235294,0.7835964912280702,4,5,9
