Substance f.e rA rB rX xX
Cs2AgF4 -0.5137445550000006 1.78 0.94 1.33 0.344443
Sr2RuO4 -0.7413689499999947 1.31 0.62 1.4 0.304575
SrSmCrO4 -0.4580233012499946 1.221 0.615 1.4 0.304575
Rb2ZnF4 -0.6077385300000024 1.63 0.74 1.33 0.344443
Rb2NiF4 -0.56117083 1.63 0.69 1.33 0.344443
Rb2MnF4 -0.4206319749999991 1.63 0.83 1.33 0.344443
Rb2NpO4 -3.734476540000003 1.63 0.72 1.4 0.304575
Sr2TiO4 -1.4499136499999956 1.31 0.605 1.4 0.304575
Sr2SnO4 -0.7724194700000027 1.31 0.69 1.4 0.304575
Ba2IrO4 -0.8215249200000017 1.47 0.625 1.4 0.304575
Ca2SiO4 -0.4933149050000018 1.18 0.4 1.4 0.304575
Cs2CdCl4 -0.3025700900000014 1.78 0.95 1.81 0.263803
Rb2CdCl4 -0.0779500999999989 1.63 0.95 1.81 0.263803
Cs2CrCl4 -0.3350831100000029 1.78 0.8 1.81 0.263803
LaAgTiO4 -0.1640200656249959 1.248 0.605 1.4 0.304575
CaDyAlO4 -0.0483046287499995 1.1315 0.535 1.4 0.304575
SrPrVO4 -0.5171969737499964 1.2445 0.64 1.4 0.304575
SrCeAlO4 -0.4001949831250009 1.253 0.535 1.4 0.304575
EuGdAlO4 -0.3664590924999977 1.2035 0.535 1.4 0.304575
EuLaAlO4 -0.4973257931250003 1.258 0.535 1.4 0.304575
SrTbCrO4 -0.1614070281250086 1.2025 0.615 1.4 0.304575
Cs2TmCl4 -0.2843709437499981 1.78 1.03 1.81 0.263803
K2ZnF4 -0.5190239400000003 1.55 0.74 1.33 0.344443
K2NpO4 -3.53853796 1.55 0.72 1.4 0.304575
Pr2CuO4 0.605921519999999 1.179 0.73 1.4 0.304575
K2PuO4 -3.561435269999997 1.55 0.71 1.4 0.304575
CaHoAlO4 -0.1199629268750008 1.126 0.535 1.4 0.304575
SrEuCrO4 -1.0653709656250037 1.215 0.615 1.4 0.304575
SrSmAlO4 -0.3640061737499955 1.221 0.535 1.4 0.304575
CaNdCoO4 -0.4740106106249939 1.1715 0.61 1.4 0.304575
Tl2CuF4 -0.4882982700000013 1.59 0.73 1.33 0.344443
Cs2UO4 -3.239797240000001 1.78 0.73 1.4 0.304575
K2UO4 -3.350565209999999 1.55 0.73 1.4 0.304575
Rb2PuO4 -3.739536819999998 1.63 0.71 1.4 0.304575
Rb2UO4 -3.544043100000003 1.63 0.73 1.4 0.304575
CaPrCoO4 -0.603248008749997 1.1795 0.61 1.4 0.304575
SrLaCoO4 -1.023901540624994 1.263 0.61 1.4 0.304575
Sr2MnO4 -1.3532722016666696 1.31 0.53 1.4 0.304575
La2NiO4 -0.1647227287500001 1.216 0.69 1.4 0.304575
Ba2ZrO4 -1.295473389999998 1.47 0.72 1.4 0.304575
Ca2MnO4 -0.6326593416666704 1.18 0.53 1.4 0.304575
GdLaCuO4 0.5531150368749991 1.1615 0.73 1.4 0.304575
DySmCuO4 1.070966680000005 1.1075 0.73 1.4 0.304575
SrLaMnO4 -0.5815694531249918 1.263 0.645 1.4 0.304575
SmTbCuO4 1.0661782381250011 1.1135000000000002 0.73 1.4 0.304575
