Substance,f.e,n,rA,rB,rX,xX,fold_3
Sr2RuO4,-0.7413689499999947,1.0,1.31,0.62,1.4,0.304575,train
SrSmCrO4,-0.4580233012499946,1.0,1.221,0.615,1.4,0.304575,train
Cs2YbCl4,-0.3513746349999991,1.0,1.78,1.02,1.81,0.263803,train
SrTbFeO4,-0.0831388481249959,1.0,1.2025,0.645,1.4,0.304575,train
La2CuO4,0.1370280762500009,1.0,1.216,0.73,1.4,0.304575,train
Rb2ZnF4,-0.6077385300000024,1.0,1.63,0.74,1.33,0.344443,train
Rb2NiF4,-0.56117083,1.0,1.63,0.69,1.33,0.344443,train
Rb2MnF4,-0.4206319749999991,1.0,1.63,0.83,1.33,0.344443,train
Tl2UO4,-0.9002159750000018,1.0,1.59,0.73,1.4,0.304575,train
Rb2NpO4,-3.734476540000003,1.0,1.63,0.72,1.4,0.304575,train
Rb2MnBr2Cl2,0.1305074350000019,1.0,1.63,0.83,1.885,0.2525304,train
Sr2TiO4,-1.4499136499999956,1.0,1.31,0.605,1.4,0.304575,train
Sr2RhO4,-0.4577036649999968,1.0,1.31,0.6,1.4,0.304575,train
Ba2IrO4,-0.8215249200000017,1.0,1.47,0.625,1.4,0.304575,train
Ca2SiO4,-0.4933149050000018,1.0,1.18,0.4,1.4,0.304575,train
Cs2CdCl4,-0.3025700900000014,1.0,1.78,0.95,1.81,0.263803,train
Cs2CrCl4,-0.3350831100000029,1.0,1.78,0.8,1.81,0.263803,train
SrTbVO4,-0.1348327031250065,1.0,1.2025,0.64,1.4,0.304575,train
LaAgTiO4,-0.1640200656249959,1.0,1.248,0.605,1.4,0.304575,train
CaDyAlO4,-0.0483046287499995,1.0,1.1315,0.535,1.4,0.304575,train
SrPrVO4,-0.5171969737499964,1.0,1.2445,0.64,1.4,0.304575,train
EuGdAlO4,-0.3664590924999977,1.0,1.2035,0.535,1.4,0.304575,train
EuLaAlO4,-0.4973257931250003,1.0,1.258,0.535,1.4,0.304575,train
EuNdAlO4,-0.4447730831250034,1.0,1.2315,0.535,1.4,0.304575,train
SrTbCrO4,-0.1614070281250086,1.0,1.2025,0.615,1.4,0.304575,train
SrEuVO4,-1.498606480000003,1.0,1.3050000000000002,0.58,1.4,0.304575,train
Cs2TmCl4,-0.2843709437499981,1.0,1.78,1.03,1.81,0.263803,train
K2ZnF4,-0.5190239400000003,1.0,1.55,0.74,1.33,0.344443,train
K2NpO4,-3.53853796,1.0,1.55,0.72,1.4,0.304575,train
Pr2CuO4,0.605921519999999,1.0,1.179,0.73,1.4,0.304575,train
K2PuO4,-3.561435269999997,1.0,1.55,0.71,1.4,0.304575,train
Nd2CuO4,0.4898627562500017,1.0,1.163,0.73,1.4,0.304575,train
CaHoAlO4,-0.1199629268750008,1.0,1.126,0.535,1.4,0.304575,train
SrSmAlO4,-0.3640061737499955,1.0,1.221,0.535,1.4,0.304575,train
CaNdCoO4,-0.4740106106249939,1.0,1.1715,0.61,1.4,0.304575,train
Tl2CuF4,-0.4882982700000013,1.0,1.59,0.73,1.33,0.344443,train
Cs2UO4,-3.239797240000001,1.0,1.78,0.73,1.4,0.304575,train
K2UO4,-3.350565209999999,1.0,1.55,0.73,1.4,0.304575,train
Sr2MoO4,-1.3111372099999985,1.0,1.31,0.65,1.4,0.304575,train
Nd2NiO4,0.1314144512500021,1.0,1.163,0.69,1.4,0.304575,train
Cs2MnCl4,0.2484328900000001,1.0,1.78,0.83,1.81,0.263803,train
CaPrCoO4,-0.603248008749997,1.0,1.1795,0.61,1.4,0.304575,train
SrLaCoO4,-1.023901540624994,1.0,1.263,0.61,1.4,0.304575,train
CaSmCoO4,-0.5707407112499965,1.0,1.156,0.61,1.4,0.304575,train
SrPrAlO4,-0.4674866912499951,1.0,1.2445,0.535,1.4,0.304575,train
La2NiO4,-0.1647227287500001,1.0,1.216,0.69,1.4,0.304575,train
La2CoO4,-0.0029236587499994,1.0,1.216,0.745,1.4,0.304575,train
Ba2ZrO4,-1.295473389999998,1.0,1.47,0.72,1.4,0.304575,train
Ca2MnO4,-0.6326593416666704,1.0,1.18,0.53,1.4,0.304575,train
Cs2PuO4,-3.500448139999996,1.0,1.78,0.71,1.4,0.304575,train
Tl2NiF4,-0.3254218049999995,1.0,1.59,0.69,1.33,0.344443,train
Sr2FeO4,-1.3175370999999956,1.0,1.31,0.585,1.4,0.304575,train
GdLaCuO4,0.5531150368749991,1.0,1.1615,0.73,1.4,0.304575,train
