Substance rA rB rX xX
Cs2AgF4 1.78 0.94 1.33 0.344443
Ba2HfO4 1.47 0.71 1.4 0.304575
Rb2HgF4 1.63 1.02 1.33 0.344443
K2MgF4 1.55 0.72 1.33 0.344443
Rb2MgCl4 1.63 0.72 1.81 0.263803
Sr2CrO4 1.31 0.55 1.4 0.304575
Cs2MnF4 1.78 0.83 1.33 0.344443
Eu2ZrO4 1.3 0.72 1.4 0.304575
SrLaVO4 1.263 0.64 1.4 0.304575
Sr2IrO4 1.31 0.625 1.4 0.304575
Cs2CaF4 1.78 1.0 1.33 0.344443
NaTmTiO4 1.146 0.605 1.4 0.304575
SrNdNiO4 1.2365 0.6 1.4 0.304575
Sr2HfO4 1.31 0.71 1.4 0.304575
Pr2CoO4 1.179 0.745 1.4 0.304575
Sr2SnO4 1.31 0.69 1.4 0.304575
Rb2MnBr4 1.63 0.83 1.96 0.2412578
Nd2CoO4 1.163 0.745 1.4 0.304575
CaNdAlO4 1.1715 0.535 1.4 0.304575
SrLaMnO4 1.263 0.645 1.4 0.304575
SrDyCrO4 1.1965 0.615 1.4 0.304575
SrEuCrO4 1.215 0.615 1.4 0.304575
Rb2PuO4 1.63 0.71 1.4 0.304575
Rb2UO4 1.63 0.73 1.4 0.304575
Sr2MnO4 1.31 0.53 1.4 0.304575
DySmCuO4 1.1075 0.73 1.4 0.304575
SrCeAlO4 1.253 0.535 1.4 0.304575
SmTbCuO4 1.1135000000000002 0.73 1.4 0.304575
Gd2NiO4 1.107 0.69 1.4 0.304575
KLaTiO4 1.383 0.605 1.4 0.304575
CaPrAlO4 1.1795 0.535 1.4 0.304575
Rb2CdCl4 1.63 0.95 1.81 0.263803
CaGdAlO4 1.1435 0.535 1.4 0.304575
SrPrNiO4 1.2445 0.6 1.4 0.304575
Na2WO4 1.24 0.6 1.4 0.304575
Li2CoCl4 0.92 0.745 1.81 0.263803
V2FeO4 0.79 0.645 1.4 0.304575
La2CdSe4 1.216 0.95 1.98 0.2240328
Zn2PtO4 0.9 0.625 1.4 0.304575
Mg2GeS4 0.89 0.53 1.84 0.23596
Ce2PbS4 1.196 1.19 1.84 0.23596
Li2ZnCl4 0.92 0.74 1.81 0.263803
Li2MgCl4 0.92 0.72 1.81 0.263803
K2ZnCl4 1.55 0.74 1.81 0.263803
Y2CdSe4 1.075 0.95 1.98 0.2240328
Tm2CdSe4 1.052 0.95 1.98 0.2240328
Yb2CdS4 1.042 0.95 1.84 0.23596
Nd2YbS4 1.163 1.02 1.84 0.23596
RbBaVO4 1.5499999999999998 0.54 1.4 0.304575
Ce2YbS4 1.196 1.02 1.84 0.23596
Lu2CdSe4 1.032 0.95 1.98 0.2240328
Y2MgSe4 1.075 0.72 1.98 0.2240328
Mn2GeO4 0.96 0.53 1.4 0.304575
Na2ZnBr4 1.24 0.74 1.96 0.2412578
LiInGeO4 0.92 0.53 1.4 0.304575
CaMgSiO4 1.035 0.4 1.4 0.304575
CaLaGaO4 1.198 0.62 1.4 0.304575
Ni2RhS4 0.69 0.6 1.84 0.23596
Mg2SnO4 0.89 0.69 1.4 0.304575
Mg2TiO4 0.89 0.605 1.4 0.304575
Tm2MgS4 1.052 0.72 1.84 0.23596
Cs2MoS4 1.78 0.59 1.84 0.23596
Mn2SiSe4 0.96 0.4 1.98 0.2240328
Yb2MnSe4 1.042 0.83 1.98 0.2240328
Cs2WS4 1.78 0.6 1.84 0.23596
FeMnSiO4 0.94 0.4 1.4 0.304575
Dy2CdTe4 1.083 0.95 2.21 0.2056992
Co2RuO4 0.9 0.62 1.4 0.304575
Na2BeCl4 1.24 0.45 1.81 0.263803
Cs2BeCl4 1.78 0.45 1.81 0.263803
Ba2SiS4 1.47 0.4 1.84 0.23596
Cs2ZnI4 1.78 0.74 2.2 0.2195175999999999
Ho2CdS4 1.072 0.95 1.84 0.23596
Co2RhS4 0.9 0.6 1.84 0.23596
Co2VO4 0.9 0.58 1.4 0.304575
Mn2GeSe4 0.96 0.53 1.98 0.2240328
La2SrS4 1.216 1.18 1.84 0.23596
Cs2MnBr4 1.78 0.83 1.96 0.2412578
LiInSiO4 0.92 0.4 1.4 0.304575
NaSrVO4 1.275 0.54 1.4 0.304575
Fe2CuO4 0.78 0.73 1.4 0.304575
EuPrCuO4 1.1495000000000002 0.73 1.4 0.304575
Ho2CaS4 1.072 1.0 1.84 0.23596
Cs2BeF4 1.78 0.45 1.33 0.344443
In2CuO4 0.92 0.73 1.4 0.304575
Sm2CuO4 1.132 0.73 1.4 0.304575
Gd2CuO4 1.107 0.73 1.4 0.304575
La2CaS4 1.216 1.0 1.84 0.23596
Cu2GeO4 0.73 0.53 1.4 0.304575
Cs2CoI4 1.78 0.745 2.2 0.2195175999999999
Pr2EuS4 1.179 1.17 1.84 0.23596
Eu2ZnO4 1.12 0.74 1.4 0.304575
Eu2SiO4 1.3 0.4 1.4 0.304575
Er2MgSe4 1.062 0.72 1.98 0.2240328
LiMgAsO4 0.905 0.46 1.4 0.304575
