Substance,Type,Label,n,A1,A2,B1,B2,X1,X2,rA,rB,rX,xX,fold_4
Cs2AgF4,rp,1,1,Cs,Cs,Ag,Ag,F,F,1.78,0.94,1.33,0.344443,test
Sr2RuO4,rp,1,1,Sr,Sr,Ru,Ru,O,O,1.31,0.62,1.4,0.304575,test
NaSmTiO4,rp,1,1,Na,Sm,Ti,Ti,O,O,1.186,0.605,1.4,0.304575,test
NaTmTiO4,rp,1,1,Na,Tm,Ti,Ti,O,O,1.146,0.605,1.4,0.304575,test
NaYTiO4,rp,1,1,Na,Y,Ti,Ti,O,O,1.1575,0.605,1.4,0.304575,test
SrNdNiO4,rp,1,1,Sr,Nd,Ni,Ni,O,O,1.2365,0.6,1.4,0.304575,test
SrEuAlO4,rp,1,1,Sr,Eu,Al,Al,O,O,1.215,0.535,1.4,0.304575,test
EuSmAlO4,rp,1,1,Eu,Sm,Al,Al,O,O,1.2160000000000002,0.535,1.4,0.304575,test
EuPrAlO4,rp,1,1,Eu,Pr,Al,Al,O,O,1.2395,0.535,1.4,0.304575,test
K2MgCl4,rp,1,1,K,K,Mg,Mg,Cl,Cl,1.55,0.72,1.81,0.263803,test
Sr2HfO4,rp,1,1,Sr,Sr,Hf,Hf,O,O,1.31,0.71,1.4,0.304575,test
SrLaVO4,rp,1,1,Sr,La,V,V,O,O,1.263,0.64,1.4,0.304575,test
SrGdCrO4,rp,1,1,Sr,Gd,Cr,Cr,O,O,1.2085,0.615,1.4,0.304575,test
SrNdCrO4,rp,1,1,Sr,Nd,Cr,Cr,O,O,1.2365,0.615,1.4,0.304575,test
SrGdNiO4,rp,1,1,Sr,Gd,Ni,Ni,O,O,1.2085,0.6,1.4,0.304575,test
SrLaScO4,rp,1,1,Sr,La,Sc,Sc,O,O,1.263,0.745,1.4,0.304575,test
K2FeF4,rp,1,1,K,K,Fe,Fe,F,F,1.55,0.78,1.33,0.344443,test
Rb2CuF4,rp,1,1,Rb,Rb,Cu,Cu,F,F,1.63,0.73,1.33,0.344443,test
Rb2MgF4,rp,1,1,Rb,Rb,Mg,Mg,F,F,1.63,0.72,1.33,0.344443,test
Tl2CoF4,rp,1,1,Tl,Tl,Co,Co,F,F,1.59,0.745,1.33,0.344443,test
Cs2CaF4,rp,1,1,Cs,Cs,Ca,Ca,F,F,1.78,1.0,1.33,0.344443,test
Cs2NpO4,rp,1,1,Cs,Cs,Np,Np,O,O,1.78,0.72,1.4,0.304575,test
NdTbCuO4,rp,1,1,Nd,Tb,Cu,Cu,O,O,1.129,0.73,1.4,0.304575,test
Cs2CuF4,rp,1,1,Cs,Cs,Cu,Cu,F,F,1.78,0.73,1.33,0.344443,test
PrTbCuO4,rp,1,1,Pr,Tb,Cu,Cu,O,O,1.137,0.73,1.4,0.304575,test
CaLaCrO4,rp,1,1,Ca,La,Cr,Cr,O,O,1.198,0.615,1.4,0.304575,test
Sr2IrO4,rp,1,1,Sr,Sr,Ir,Ir,O,O,1.31,0.625,1.4,0.304575,test
SrPrCrO4,rp,1,1,Sr,Pr,Cr,Cr,O,O,1.2445,0.615,1.4,0.304575,test
Rb2MnBr4,rp,1,1,Rb,Rb,Mn,Mn,Br,Br,1.63,0.83,1.96,0.2412578,test
Rb2HgF4,rp,1,1,Rb,Rb,Hg,Hg,F,F,1.63,1.02,1.33,0.344443,test
K2MgF4,rp,1,1,K,K,Mg,Mg,F,F,1.55,0.72,1.33,0.344443,test
Rb2MgCl4,rp,1,1,Rb,Rb,Mg,Mg,Cl,Cl,1.63,0.72,1.81,0.263803,test
Sr2CrO4,rp,1,1,Sr,Sr,Cr,Cr,O,O,1.31,0.55,1.4,0.304575,test
Rb2FeF4,rp,1,1,Rb,Rb,Fe,Fe,F,F,1.63,0.78,1.33,0.344443,test
Sr2CoO4,rp,1,1,Sr,Sr,Co,Co,O,O,1.31,0.53,1.4,0.304575,test
Ba2ZrS4,rp,1,1,Ba,Ba,Zr,Zr,S,S,1.47,0.72,1.84,0.23596,test
Cs2CaBr4,rp,1,1,Cs,Cs,Ca,Ca,Br,Br,1.78,1.0,1.96,0.2412578,test
Cs2CaCl4,rp,1,1,Cs,Cs,Ca,Ca,Cl,Cl,1.78,1.0,1.81,0.263803,test
Cs2MnF4,rp,1,1,Cs,Cs,Mn,Mn,F,F,1.78,0.83,1.33,0.344443,test
NaNdTiO4,rp,1,1,Na,Nd,Ti,Ti,O,O,1.2015,0.605,1.4,0.304575,test
Eu2ZrO4,rp,1,1,Eu,Eu,Zr,Zr,O,O,1.3,0.72,1.4,0.304575,test
Ba2HfO4,rp,1,1,Ba,Ba,Hf,Hf,O,O,1.47,0.71,1.4,0.304575,test
K2NiF4,rp,1,1,K,K,Ni,Ni,F,F,1.55,0.69,1.33,0.344443,test
K2MnF4,rp,1,1,K,K,Mn,Mn,F,F,1.55,0.83,1.33,0.344443,test
K2CoF4,rp,1,1,K,K,Co,Co,F,F,1.55,0.745,1.33,0.344443,test
CaPrCoO4,rp,1,1,Ca,Pr,Co,Co,O,O,1.1795,0.61,1.4,0.304575,train
SrLaAlO4,rp,1,1,Sr,La,Al,Al,O,O,1.263,0.535,1.4,0.304575,train
KRbCuF4,rp,1,1,K,Rb,Cu,Cu,F,F,1.59,0.73,1.33,0.344443,train
CaErAlO4,rp,1,1,Ca,Er,Al,Al,O,O,1.121,0.535,1.4,0.304575,train
SrPrFeO4,rp,1,1,Sr,Pr,Fe,Fe,O,O,1.2445,0.645,1.4,0.304575,train
SrGdFeO4,rp,1,1,Sr,Gd,Fe,Fe,O,O,1.2085,0.645,1.4,0.304575,train
CaYAlO4,rp,1,1,Ca,Y,Al,Al,O,O,1.1275,0.535,1.4,0.304575,train
BaSrSnO4,rp,1,1,Ba,Sr,Sn,Sn,O,O,1.39,0.69,1.4,0.304575,train
Ba2ZrO4,rp,1,1,Ba,Ba,Zr,Zr,O,O,1.47,0.72,1.4,0.304575,train
K2UO4,rp,1,1,K,K,U,U,O,O,1.55,0.73,1.4,0.304575,train
Rb2CoF4,rp,1,1,Rb,Rb,Co,Co,F,F,1.63,0.745,1.33,0.344443,test
CaHoAlO4,rp,1,1,Ca,Ho,Al,Al,O,O,1.126,0.535,1.4,0.304575,train
Pr2CuO4,rp,1,1,Pr,Pr,Cu,Cu,O,O,1.179,0.73,1.4,0.304575,train
K2ZnF4,rp,1,1,K,K,Zn,Zn,F,F,1.55,0.74,1.33,0.344443,train
Cs2TmCl4,rp,1,1,Cs,Cs,Tm,Tm,Cl,Cl,1.78,1.03,1.81,0.263803,train
SrPrVO4,rp,1,1,Sr,Pr,V,V,O,O,1.2445,0.64,1.4,0.304575,train
Ca2SiO4,rp,1,1,Ca,Ca,Si,Si,O,O,1.18,0.4,1.4,0.304575,train
Rb2NiF4,rp,1,1,Rb,Rb,Ni,Ni,F,F,1.63,0.69,1.33,0.344443,train
Rb2ZnF4,rp,1,1,Rb,Rb,Zn,Zn,F,F,1.63,0.74,1.33,0.344443,train
SrGdCoO4,rp,1,1,Sr,Gd,Co,Co,O,O,1.2085,0.61,1.4,0.304575,train
SrSmCoO4,rp,1,1,Sr,Sm,Co,Co,O,O,1.221,0.61,1.4,0.304575,train
BaLaFeO4,rp,1,1,Ba,La,Fe,Fe,O,O,1.343,0.645,1.4,0.304575,train
CaLaAlO4,rp,1,1,Ca,La,Al,Al,O,O,1.198,0.535,1.4,0.304575,train
NaPrTiO4,rp,1,1,Na,Pr,Ti,Ti,O,O,1.2095,0.605,1.4,0.304575,test
Nd2CoO4,rp,1,1,Nd,Nd,Co,Co,O,O,1.163,0.745,1.4,0.304575,test
Rb2MnCl2I2,rp,1,1,Rb,Rb,Mn,Mn,Cl,I,1.63,0.83,2.005,0.2416603,test
Pr2CoO4,rp,1,1,Pr,Pr,Co,Co,O,O,1.179,0.745,1.4,0.304575,test
Ba2RuO4,rp,1,1,Ba,Ba,Ru,Ru,O,O,1.47,0.62,1.4,0.304575,test
Rb2MnCl4,rp,1,1,Rb,Rb,Mn,Mn,Cl,Cl,1.63,0.83,1.81,0.263803,train
Eu2TiO4,rp,1,1,Eu,Eu,Ti,Ti,O,O,1.3,0.605,1.4,0.304575,train
EuTbCuO4,rp,1,1,Eu,Tb,Cu,Cu,O,O,1.1075,0.73,1.4,0.304575,train
Eu2VO4,rp,1,1,Eu,Eu,V,V,O,O,1.3,0.58,1.4,0.304575,train
Ca2GeO4,rp,1,1,Ca,Ca,Ge,Ge,O,O,1.18,0.53,1.4,0.304575,train
Cs2HgF4,rp,1,1,Cs,Cs,Hg,Hg,F,F,1.78,1.02,1.33,0.344443,train
Ba2HfS4,rp,1,1,Ba,Ba,Hf,Hf,S,S,1.47,0.71,1.84,0.23596,train
Ba2SnO4,rp,1,1,Ba,Ba,Sn,Sn,O,O,1.47,0.69,1.4,0.304575,train
SrNdAlO4,rp,1,1,Sr,Nd,Al,Al,O,O,1.2365,0.535,1.4,0.304575,train
CaLaFeO4,rp,1,1,Ca,La,Fe,Fe,O,O,1.198,0.645,1.4,0.304575,train
NaLaTiO4,rp,1,1,Na,La,Ti,Ti,O,O,1.228,0.605,1.4,0.304575,train
BaSrPbO4,rp,1,1,Ba,Sr,Pb,Pb,O,O,1.39,0.775,1.4,0.304575,train
SrEuCoO4,rp,1,1,Sr,Eu,Co,Co,O,O,1.215,0.61,1.4,0.304575,test
Ba2PbO4,rp,1,1,Ba,Ba,Pb,Pb,O,O,1.47,0.775,1.4,0.304575,test
SrGdVO4,rp,1,1,Sr,Gd,V,V,O,O,1.2085,0.64,1.4,0.304575,test
Tl2UO4,rp,1,1,Tl,Tl,U,U,O,O,1.59,0.73,1.4,0.304575,test
Rb2CdCl4,rp,1,1,Rb,Rb,Cd,Cd,Cl,Cl,1.63,0.95,1.81,0.263803,test
Cs2CdCl4,rp,1,1,Cs,Cs,Cd,Cd,Cl,Cl,1.78,0.95,1.81,0.263803,test
Ba2IrO4,rp,1,1,Ba,Ba,Ir,Ir,O,O,1.47,0.625,1.4,0.304575,test
Sr2RhO4,rp,1,1,Sr,Sr,Rh,Rh,O,O,1.31,0.6,1.4,0.304575,test
Sr2SnO4,rp,1,1,Sr,Sr,Sn,Sn,O,O,1.31,0.69,1.4,0.304575,test
Sr2TiO4,rp,1,1,Sr,Sr,Ti,Ti,O,O,1.31,0.605,1.4,0.304575,test
Rb2MnBr2Cl2,rp,1,1,Rb,Rb,Mn,Mn,Br,Cl,1.63,0.83,1.885,0.2525304,test
Rb2NpO4,rp,1,1,Rb,Rb,Np,Np,O,O,1.63,0.72,1.4,0.304575,test
Rb2MnF4,rp,1,1,Rb,Rb,Mn,Mn,F,F,1.63,0.83,1.33,0.344443,test
SrPrAlO4,rp,1,1,Sr,Pr,Al,Al,O,O,1.2445,0.535,1.4,0.304575,test
La2CuO4,rp,1,1,La,La,Cu,Cu,O,O,1.216,0.73,1.4,0.304575,test
SrTbFeO4,rp,1,1,Sr,Tb,Fe,Fe,O,O,1.2025,0.645,1.4,0.304575,test
Cs2YbCl4,rp,1,1,Cs,Cs,Yb,Yb,Cl,Cl,1.78,1.02,1.81,0.263803,test
SrSmCrO4,rp,1,1,Sr,Sm,Cr,Cr,O,O,1.221,0.615,1.4,0.304575,test
Rb2UO4,rp,1,1,Rb,Rb,U,U,O,O,1.63,0.73,1.4,0.304575,test
Cs2MnCl4,rp,1,1,Cs,Cs,Mn,Mn,Cl,Cl,1.78,0.83,1.81,0.263803,test
SrLaCoO4,rp,1,1,Sr,La,Co,Co,O,O,1.263,0.61,1.4,0.304575,test
CaSmCoO4,rp,1,1,Ca,Sm,Co,Co,O,O,1.156,0.61,1.4,0.304575,test
Cs2CrCl4,rp,1,1,Cs,Cs,Cr,Cr,Cl,Cl,1.78,0.8,1.81,0.263803,test
SrTbVO4,rp,1,1,Sr,Tb,V,V,O,O,1.2025,0.64,1.4,0.304575,test
LaAgTiO4,rp,1,1,La,Ag,Ti,Ti,O,O,1.248,0.605,1.4,0.304575,test
CaDyAlO4,rp,1,1,Ca,Dy,Al,Al,O,O,1.1315,0.535,1.4,0.304575,test
Nd2NiO4,rp,1,1,Nd,Nd,Ni,Ni,O,O,1.163,0.69,1.4,0.304575,test
Sr2MoO4,rp,1,1,Sr,Sr,Mo,Mo,O,O,1.31,0.65,1.4,0.304575,test
Cs2UO4,rp,1,1,Cs,Cs,U,U,O,O,1.78,0.73,1.4,0.304575,test
Tl2CuF4,rp,1,1,Tl,Tl,Cu,Cu,F,F,1.59,0.73,1.33,0.344443,test
CaNdCoO4,rp,1,1,Ca,Nd,Co,Co,O,O,1.1715,0.61,1.4,0.304575,test
SrSmAlO4,rp,1,1,Sr,Sm,Al,Al,O,O,1.221,0.535,1.4,0.304575,test
SrEuCrO4,rp,1,1,Sr,Eu,Cr,Cr,O,O,1.215,0.615,1.4,0.304575,test
Nd2CuO4,rp,1,1,Nd,Nd,Cu,Cu,O,O,1.163,0.73,1.4,0.304575,test
K2PuO4,rp,1,1,K,K,Pu,Pu,O,O,1.55,0.71,1.4,0.304575,test
K2NpO4,rp,1,1,K,K,Np,Np,O,O,1.55,0.72,1.4,0.304575,test
SrEuVO4,rp,1,1,Sr,Eu,V,V,O,O,1.3050000000000002,0.58,1.4,0.304575,test
SrTbCrO4,rp,1,1,Sr,Tb,Cr,Cr,O,O,1.2025,0.615,1.4,0.304575,test
EuNdAlO4,rp,1,1,Eu,Nd,Al,Al,O,O,1.2315,0.535,1.4,0.304575,test
EuLaAlO4,rp,1,1,Eu,La,Al,Al,O,O,1.258,0.535,1.4,0.304575,test
LaNdCuO4,rp,1,1,La,Nd,Cu,Cu,O,O,1.1895,0.73,1.4,0.304575,test
EuGdAlO4,rp,1,1,Eu,Gd,Al,Al,O,O,1.2035,0.535,1.4,0.304575,test
