Substance,Label,n,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,fold_2
Cs2AgF4,1.0,1.0,1.78,0.94,1.33,1.0,2.0,-1.0,0.1542125,0.1472165,0.344443,3.893905548,7.576234,17.42282,1.0,11.0,7.0,train
Sr2RuO4,1.0,1.0,1.31,0.62,1.4,2.0,4.0,-2.0,0.1185082,0.1376494,0.304575,5.6948672,7.3605,13.618054,2.0,8.0,6.0,train
SrSmCrO4,1.0,1.0,1.221,0.615,1.4,2.5,3.0,-2.0,0.1519881,0.1313053,0.304575,5.6692886,6.76651,13.618054,5.0,6.0,6.0,train
Cs2YbCl4,1.0,1.0,1.78,1.02,1.81,1.0,2.0,-1.0,0.1542125,0.22119,0.263803,3.893905548,6.25416,12.96763,1.0,16.0,7.0,train
SrTbFeO4,1.0,1.0,1.2025,0.645,1.4,2.5,3.0,-2.0,0.1586856,0.1392532,0.304575,5.7793336,7.9024678,13.618054,6.5,8.0,6.0,train
La2CuO4,1.0,1.0,1.216,0.73,1.4,3.0,2.0,-2.0,0.163142,0.1511716,0.304575,5.5769,7.72638,13.618054,3.0,11.0,6.0,train
Rb2ZnF4,1.0,1.0,1.63,0.74,1.33,1.0,2.0,-1.0,0.104686,0.1551518,0.344443,4.177128,9.394199,17.42282,1.0,12.0,7.0,train
Rb2NiF4,1.0,1.0,1.63,0.69,1.33,1.0,2.0,-1.0,0.104686,0.1472068,0.344443,4.177128,7.639877,17.42282,1.0,10.0,7.0,train
Tl2UO4,1.0,1.0,1.59,0.73,1.4,1.0,6.0,-2.0,0.173447,0.13207,0.304575,6.108287,6.19405,13.618054,3.0,6.0,6.0,train
Rb2NpO4,1.0,1.0,1.63,0.72,1.4,1.0,6.0,-2.0,0.104686,0.14265,0.304575,4.177128,6.2655,13.618054,1.0,7.0,6.0,train
Rb2MnBr2Cl2,1.0,1.0,1.63,0.83,1.885,1.0,2.0,-1.0,0.104686,0.1352844,0.2525304,4.177128,7.434018,12.39072,1.0,7.0,7.0,train
Sr2TiO4,1.0,1.0,1.31,0.605,1.4,2.0,4.0,-2.0,0.1185082,0.1233637,0.304575,5.6948672,6.82812,13.618054,2.0,4.0,6.0,train
Sr2SnO4,1.0,1.0,1.31,0.69,1.4,2.0,4.0,-2.0,0.1185082,0.178052,0.304575,5.6948672,7.343917,13.618054,2.0,4.0,6.0,train
Sr2RhO4,1.0,1.0,1.31,0.6,1.4,2.0,4.0,-2.0,0.1185082,0.1408379,0.304575,5.6948672,7.4589,13.618054,2.0,9.0,6.0,train
Ba2IrO4,1.0,1.0,1.47,0.625,1.4,2.0,4.0,-2.0,0.1586786,0.25106,0.304575,5.211664,8.96702,13.618054,2.0,9.0,6.0,train
Ca2SiO4,1.0,1.0,1.18,0.4,1.4,2.0,4.0,-2.0,0.1154119,0.178503,0.304575,6.1131552,8.151683,13.618054,2.0,4.0,6.0,train
Rb2CdCl4,1.0,1.0,1.63,0.95,1.81,1.0,2.0,-1.0,0.104686,0.1504066,0.263803,4.177128,8.993822,12.96763,1.0,12.0,7.0,train
Cs2CrCl4,1.0,1.0,1.78,0.8,1.81,1.0,2.0,-1.0,0.1542125,0.1313053,0.263803,3.893905548,6.76651,12.96763,1.0,6.0,7.0,train
SrTbVO4,1.0,1.0,1.2025,0.64,1.4,2.5,3.0,-2.0,0.1586856,0.1273344,0.304575,5.7793336,6.746187,13.618054,6.5,5.0,6.0,train
LaAgTiO4,1.0,1.0,1.248,0.605,1.4,2.0,4.0,-2.0,0.15517925,0.1233637,0.304575,6.576567,6.82812,13.618054,7.0,4.0,6.0,train
SrPrVO4,1.0,1.0,1.2445,0.64,1.4,2.5,3.0,-2.0,0.1452941,0.1273344,0.304575,5.5839336,6.746187,13.618054,3.5,5.0,6.0,train
SrCeAlO4,1.0,1.0,1.253,0.535,1.4,2.5,3.0,-2.0,0.1430591,0.150078,0.304575,5.6167336,5.9857684,13.618054,3.0,3.0,6.0,train
EuNdAlO4,1.0,1.0,1.2315,0.535,1.4,2.5,3.0,-2.0,0.183237,0.150078,0.304575,5.5976925,5.9857684,13.618054,7.5,3.0,6.0,train
SrEuVO4,1.0,1.0,1.3050000000000002,0.58,1.4,2.0,4.0,-2.0,0.1542216,0.1273344,0.304575,5.6826261,6.746187,13.618054,5.5,5.0,6.0,train
Cs2TmCl4,1.0,1.0,1.78,1.03,1.81,1.0,2.0,-1.0,0.1542125,0.2167244,0.263803,3.893905548,6.18431,12.96763,1.0,15.0,7.0,train
K2ZnF4,1.0,1.0,1.55,0.74,1.33,1.0,2.0,-1.0,0.0981896,0.1551518,0.344443,4.34066354,9.394199,17.42282,1.0,12.0,7.0,train
K2NpO4,1.0,1.0,1.55,0.72,1.4,1.0,6.0,-2.0,0.0981896,0.14265,0.304575,4.34066354,6.2655,13.618054,1.0,7.0,6.0,train
Pr2CuO4,1.0,1.0,1.179,0.73,1.4,3.0,2.0,-2.0,0.17208,0.1511716,0.304575,5.473,7.72638,13.618054,5.0,11.0,6.0,train
K2PuO4,1.0,1.0,1.55,0.71,1.4,1.0,6.0,-2.0,0.0981896,0.16137,0.304575,4.34066354,6.0258,13.618054,1.0,8.0,6.0,train
Nd2CuO4,1.0,1.0,1.163,0.73,1.4,3.0,2.0,-2.0,0.176539,0.1511716,0.304575,5.525,7.72638,13.618054,6.0,11.0,6.0,train
CaHoAlO4,1.0,1.0,1.126,0.535,1.4,2.5,3.0,-2.0,0.16160345,0.150078,0.304575,6.0673276,5.9857684,13.618054,7.5,3.0,6.0,train
SrEuCrO4,1.0,1.0,1.215,0.615,1.4,2.5,3.0,-2.0,0.1542216,0.1313053,0.304575,5.6826261,6.76651,13.618054,5.5,6.0,6.0,train
Tl2CuF4,1.0,1.0,1.59,0.73,1.33,1.0,2.0,-1.0,0.173447,0.1511716,0.344443,6.108287,7.72638,17.42282,3.0,11.0,7.0,train
K2UO4,1.0,1.0,1.55,0.73,1.4,1.0,6.0,-2.0,0.0981896,0.13207,0.304575,4.34066354,6.19405,13.618054,1.0,6.0,6.0,train
Sr2MoO4,1.0,1.0,1.31,0.65,1.4,2.0,4.0,-2.0,0.1185082,0.1312672,0.304575,5.6948672,7.09243,13.618054,2.0,6.0,6.0,train
Nd2NiO4,1.0,1.0,1.163,0.69,1.4,3.0,2.0,-2.0,0.176539,0.1472068,0.304575,5.525,7.639877,13.618054,6.0,10.0,6.0,train
Rb2PuO4,1.0,1.0,1.63,0.71,1.4,1.0,6.0,-2.0,0.104686,0.16137,0.304575,4.177128,6.0258,13.618054,1.0,8.0,6.0,train
Rb2UO4,1.0,1.0,1.63,0.73,1.4,1.0,6.0,-2.0,0.104686,0.13207,0.304575,4.177128,6.19405,13.618054,1.0,6.0,6.0,train
Cs2MnCl4,1.0,1.0,1.78,0.83,1.81,1.0,2.0,-1.0,0.1542125,0.1352844,0.263803,3.893905548,7.434018,12.96763,1.0,7.0,7.0,train
CaPrCoO4,1.0,1.0,1.1795,0.61,1.4,2.5,3.0,-2.0,0.14374595,0.1432363,0.304575,5.7930776,7.88101,13.618054,3.5,9.0,6.0,train
CaSmCoO4,1.0,1.0,1.156,0.61,1.4,2.5,3.0,-2.0,0.15043995,0.1432363,0.304575,5.8784326,7.88101,13.618054,5.0,9.0,6.0,train
Sr2MnO4,1.0,1.0,1.31,0.53,1.4,2.0,4.0,-2.0,0.1185082,0.1352844,0.304575,5.6948672,7.434018,13.618054,2.0,7.0,6.0,train
SrPrAlO4,1.0,1.0,1.2445,0.535,1.4,2.5,3.0,-2.0,0.1452941,0.150078,0.304575,5.5839336,5.9857684,13.618054,3.5,3.0,6.0,train
La2NiO4,1.0,1.0,1.216,0.69,1.4,3.0,2.0,-2.0,0.163142,0.1472068,0.304575,5.5769,7.639877,13.618054,3.0,10.0,6.0,train
La2CoO4,1.0,1.0,1.216,0.745,1.4,3.0,2.0,-2.0,0.163142,0.1432363,0.304575,5.5769,7.88101,13.618054,3.0,9.0,6.0,train
Ba2ZrO4,1.0,1.0,1.47,0.72,1.4,2.0,4.0,-2.0,0.1586786,0.1248887,0.304575,5.211664,6.6339,13.618054,2.0,4.0,6.0,train
Ca2MnO4,1.0,1.0,1.18,0.53,1.4,2.0,4.0,-2.0,0.1154119,0.1352844,0.304575,6.1131552,7.434018,13.618054,2.0,7.0,6.0,train
Cs2PuO4,1.0,1.0,1.78,0.71,1.4,1.0,6.0,-2.0,0.1542125,0.16137,0.304575,3.893905548,6.0258,13.618054,1.0,8.0,6.0,train
Tl2NiF4,1.0,1.0,1.59,0.69,1.33,1.0,2.0,-1.0,0.173447,0.1472068,0.344443,6.108287,7.639877,17.42282,3.0,10.0,7.0,train
Sr2FeO4,1.0,1.0,1.31,0.585,1.4,2.0,4.0,-2.0,0.1185082,0.1392532,0.304575,5.6948672,7.9024678,13.618054,2.0,8.0,6.0,train
DySmCuO4,1.0,1.0,1.1075,0.73,1.4,3.0,2.0,-2.0,0.194399,0.1511716,0.304575,5.79138,7.72638,13.618054,10.0,11.0,6.0,train
SrLaMnO4,1.0,1.0,1.263,0.645,1.4,2.5,3.0,-2.0,0.1408251,0.1352844,0.304575,5.6358836,7.434018,13.618054,2.5,7.0,6.0,train
SmTbCuO4,1.0,1.0,1.1135000000000002,0.73,1.4,3.0,2.0,-2.0,0.1921655,0.1511716,0.304575,5.753755,7.72638,13.618054,9.5,11.0,6.0,train
CaYCrO4,1.0,1.0,1.1275,0.615,1.4,2.5,3.0,-2.0,0.11855525,0.1313053,0.304575,6.1652076,6.76651,13.618054,2.5,6.0,6.0,train
CaCeMnO4,1.0,1.0,1.075,0.83,1.4,3.0,2.0,-2.0,0.14151095,0.1352844,0.304575,5.8258776,7.434018,13.618054,3.0,7.0,6.0,train
BaSrSnO4,1.0,1.0,1.39,0.69,1.4,2.0,4.0,-2.0,0.1385934,0.178052,0.304575,5.4532656,7.343917,13.618054,2.0,4.0,6.0,train
CaPrAlO4,1.0,1.0,1.1795,0.535,1.4,2.5,3.0,-2.0,0.14374595,0.150078,0.304575,5.7930776,5.9857684,13.618054,3.5,3.0,6.0,train
CaYAlO4,1.0,1.0,1.1275,0.535,1.4,2.5,3.0,-2.0,0.11855525,0.150078,0.304575,6.1652076,5.9857684,13.618054,2.5,3.0,6.0,train
DyNdCuO4,1.0,1.0,1.123,0.73,1.4,3.0,2.0,-2.0,0.1899345,0.1511716,0.304575,5.732025,7.72638,13.618054,9.0,11.0,6.0,train
DyPrCuO4,1.0,1.0,1.131,0.73,1.4,3.0,2.0,-2.0,0.187705,0.1511716,0.304575,5.706025,7.72638,13.618054,8.5,11.0,6.0,train
EuLaCuO4,1.0,1.0,1.168,0.73,1.4,3.0,2.0,-2.0,0.1765385,0.1511716,0.304575,5.6236425,7.72638,13.618054,6.0,11.0,6.0,train
NaLuTiO4,1.0,1.0,1.136,0.605,1.4,2.0,4.0,-2.0,0.159432,0.1233637,0.304575,5.28247385,6.82812,13.618054,9.0,4.0,6.0,train
SrPrNiO4,1.0,1.0,1.2445,0.6,1.4,2.5,3.0,-2.0,0.1452941,0.1472068,0.304575,5.5839336,7.639877,13.618054,3.5,10.0,6.0,train
SrNdVO4,1.0,1.0,1.2365,0.64,1.4,2.5,3.0,-2.0,0.1475236,0.1273344,0.304575,5.6099336,6.746187,13.618054,4.0,5.0,6.0,train
SrGdFeO4,1.0,1.0,1.2085,0.645,1.4,2.5,3.0,-2.0,0.1564541,0.1392532,0.304575,5.9223316,7.9024678,13.618054,6.0,8.0,6.0,train
SrPrFeO4,1.0,1.0,1.2445,0.645,1.4,2.5,3.0,-2.0,0.1452941,0.1392532,0.304575,5.5839336,7.9024678,13.618054,3.5,8.0,6.0,train
SrLaCrO4,1.0,1.0,1.263,0.615,1.4,2.5,3.0,-2.0,0.1408251,0.1313053,0.304575,5.6358836,6.76651,13.618054,2.5,6.0,6.0,train
CaGdAlO4,1.0,1.0,1.1435,0.535,1.4,2.5,3.0,-2.0,0.15490595,0.150078,0.304575,6.1314756,5.9857684,13.618054,6.0,3.0,6.0,train
CaEuAlO4,1.0,1.0,1.15,0.535,1.4,2.5,3.0,-2.0,0.15267345,0.150078,0.304575,5.8917701,5.9857684,13.618054,5.5,3.0,6.0,train
CaErAlO4,1.0,1.0,1.121,0.535,1.4,2.5,3.0,-2.0,0.16383645,0.150078,0.304575,6.1104276,5.9857684,13.618054,8.0,3.0,6.0,train
KRbCuF4,1.0,1.0,1.59,0.73,1.33,1.0,2.0,-1.0,0.1014378,0.1511716,0.344443,4.25889577,7.72638,17.42282,1.0,11.0,7.0,train
SrGdAlO4,1.0,1.0,1.2085,0.535,1.4,2.5,3.0,-2.0,0.1564541,0.150078,0.304575,5.9223316,5.9857684,13.618054,6.0,3.0,6.0,train
CeEuAlO4,1.0,1.0,1.248,0.535,1.4,2.5,3.0,-2.0,0.1787725,0.150078,0.304575,5.6044925,5.9857684,13.618054,6.5,3.0,6.0,train
Sr2VO4,1.0,1.0,1.31,0.58,1.4,2.0,4.0,-2.0,0.1185082,0.1273344,0.304575,5.6948672,6.746187,13.618054,2.0,5.0,6.0,train
Gd2NiO4,1.0,1.0,1.107,0.69,1.4,3.0,2.0,-2.0,0.1944,0.1472068,0.304575,6.149796,7.639877,13.618054,10.0,10.0,6.0,train
SrLaAlO4,1.0,1.0,1.263,0.535,1.4,2.5,3.0,-2.0,0.1408251,0.150078,0.304575,5.6358836,5.9857684,13.618054,2.5,3.0,6.0,train
SrNdGaO4,1.0,1.0,1.2365,0.62,1.4,2.5,3.0,-2.0,0.1475236,0.1723773,0.304575,5.6099336,5.9993018,13.618054,4.0,3.0,6.0,train
KLaTiO4,1.0,1.0,1.383,0.605,1.4,2.0,4.0,-2.0,0.1306658,0.1233637,0.304575,4.95878177,6.82812,13.618054,2.0,4.0,6.0,train
SrGdCoO4,1.0,1.0,1.2085,0.61,1.4,2.5,3.0,-2.0,0.1564541,0.1432363,0.304575,5.9223316,7.88101,13.618054,6.0,9.0,6.0,train
SrSmCoO4,1.0,1.0,1.221,0.61,1.4,2.5,3.0,-2.0,0.1519881,0.1432363,0.304575,5.6692886,7.88101,13.618054,5.0,9.0,6.0,train
SrDyCrO4,1.0,1.0,1.1965,0.615,1.4,2.5,3.0,-2.0,0.1609191,0.1313053,0.304575,5.8169586,6.76651,13.618054,7.0,6.0,6.0,train
SrCeVO4,1.0,1.0,1.253,0.64,1.4,2.5,3.0,-2.0,0.1430591,0.1273344,0.304575,5.6167336,6.746187,13.618054,3.0,5.0,6.0,train
BaLaFeO4,1.0,1.0,1.343,0.645,1.4,2.5,3.0,-2.0,0.1609103,0.1392532,0.304575,5.394282,7.9024678,13.618054,2.5,8.0,6.0,train
CaLaAlO4,1.0,1.0,1.198,0.535,1.4,2.5,3.0,-2.0,0.13927695,0.150078,0.304575,5.8450276,5.9857684,13.618054,2.5,3.0,6.0,train
CaNdAlO4,1.0,1.0,1.1715,0.535,1.4,2.5,3.0,-2.0,0.14597545,0.150078,0.304575,5.8190776,5.9857684,13.618054,4.0,3.0,6.0,train
CaSmAlO4,1.0,1.0,1.156,0.535,1.4,2.5,3.0,-2.0,0.15043995,0.150078,0.304575,5.8784326,5.9857684,13.618054,5.0,3.0,6.0,train
BaSrPbO4,1.0,1.0,1.39,0.775,1.4,2.0,4.0,-2.0,0.1385934,0.177911,0.304575,5.4532656,7.4166796,13.618054,2.0,4.0,6.0,train
