Substance rA rB rX nA nB nX xX
Sr2RuO4 1.31 0.62 1.4 2.0 4.0 -2.0 0.304575
SrSmCrO4 1.221 0.615 1.4 2.5 3.0 -2.0 0.304575
Cs2YbCl4 1.78 1.02 1.81 1.0 2.0 -1.0 0.263803
SrTbFeO4 1.2025 0.645 1.4 2.5 3.0 -2.0 0.304575
La2CuO4 1.216 0.73 1.4 3.0 2.0 -2.0 0.304575
Rb2ZnF4 1.63 0.74 1.33 1.0 2.0 -1.0 0.344443
Rb2NiF4 1.63 0.69 1.33 1.0 2.0 -1.0 0.344443
Rb2MnF4 1.63 0.83 1.33 1.0 2.0 -1.0 0.344443
Tl2UO4 1.59 0.73 1.4 1.0 6.0 -2.0 0.304575
Rb2NpO4 1.63 0.72 1.4 1.0 6.0 -2.0 0.304575
Rb2MnBr2Cl2 1.63 0.83 1.885 1.0 2.0 -1.0 0.2525304
Sr2TiO4 1.31 0.605 1.4 2.0 4.0 -2.0 0.304575
Sr2RhO4 1.31 0.6 1.4 2.0 4.0 -2.0 0.304575
Ba2IrO4 1.47 0.625 1.4 2.0 4.0 -2.0 0.304575
Ca2SiO4 1.18 0.4 1.4 2.0 4.0 -2.0 0.304575
Cs2CdCl4 1.78 0.95 1.81 1.0 2.0 -1.0 0.263803
Cs2CrCl4 1.78 0.8 1.81 1.0 2.0 -1.0 0.263803
SrTbVO4 1.2025 0.64 1.4 2.5 3.0 -2.0 0.304575
LaAgTiO4 1.248 0.605 1.4 2.0 4.0 -2.0 0.304575
CaDyAlO4 1.1315 0.535 1.4 2.5 3.0 -2.0 0.304575
SrPrVO4 1.2445 0.64 1.4 2.5 3.0 -2.0 0.304575
EuGdAlO4 1.2035 0.535 1.4 2.5 3.0 -2.0 0.304575
EuLaAlO4 1.258 0.535 1.4 2.5 3.0 -2.0 0.304575
EuNdAlO4 1.2315 0.535 1.4 2.5 3.0 -2.0 0.304575
SrTbCrO4 1.2025 0.615 1.4 2.5 3.0 -2.0 0.304575
SrEuVO4 1.3050000000000002 0.58 1.4 2.0 4.0 -2.0 0.304575
Cs2TmCl4 1.78 1.03 1.81 1.0 2.0 -1.0 0.263803
K2ZnF4 1.55 0.74 1.33 1.0 2.0 -1.0 0.344443
K2NpO4 1.55 0.72 1.4 1.0 6.0 -2.0 0.304575
Pr2CuO4 1.179 0.73 1.4 3.0 2.0 -2.0 0.304575
K2PuO4 1.55 0.71 1.4 1.0 6.0 -2.0 0.304575
Nd2CuO4 1.163 0.73 1.4 3.0 2.0 -2.0 0.304575
CaHoAlO4 1.126 0.535 1.4 2.5 3.0 -2.0 0.304575
SrSmAlO4 1.221 0.535 1.4 2.5 3.0 -2.0 0.304575
CaNdCoO4 1.1715 0.61 1.4 2.5 3.0 -2.0 0.304575
Tl2CuF4 1.59 0.73 1.33 1.0 2.0 -1.0 0.344443
Cs2UO4 1.78 0.73 1.4 1.0 6.0 -2.0 0.304575
K2UO4 1.55 0.73 1.4 1.0 6.0 -2.0 0.304575
Sr2MoO4 1.31 0.65 1.4 2.0 4.0 -2.0 0.304575
Nd2NiO4 1.163 0.69 1.4 3.0 2.0 -2.0 0.304575
Cs2MnCl4 1.78 0.83 1.81 1.0 2.0 -1.0 0.263803
CaPrCoO4 1.1795 0.61 1.4 2.5 3.0 -2.0 0.304575
SrLaCoO4 1.263 0.61 1.4 2.5 3.0 -2.0 0.304575
CaSmCoO4 1.156 0.61 1.4 2.5 3.0 -2.0 0.304575
SrPrAlO4 1.2445 0.535 1.4 2.5 3.0 -2.0 0.304575
La2NiO4 1.216 0.69 1.4 3.0 2.0 -2.0 0.304575
La2CoO4 1.216 0.745 1.4 3.0 2.0 -2.0 0.304575
Ba2ZrO4 1.47 0.72 1.4 2.0 4.0 -2.0 0.304575
