Substance,Label,n,rA,rB,rX,nA,nB,nX,xX,fold_5
Cs2AgF4,1.0,1.0,1.78,0.94,1.33,1.0,2.0,-1.0,0.344443,train
Cs2YbCl4,1.0,1.0,1.78,1.02,1.81,1.0,2.0,-1.0,0.263803,train
SrTbFeO4,1.0,1.0,1.2025,0.645,1.4,2.5,3.0,-2.0,0.304575,train
La2CuO4,1.0,1.0,1.216,0.73,1.4,3.0,2.0,-2.0,0.304575,train
Rb2ZnF4,1.0,1.0,1.63,0.74,1.33,1.0,2.0,-1.0,0.344443,train
Rb2NiF4,1.0,1.0,1.63,0.69,1.33,1.0,2.0,-1.0,0.344443,train
Rb2MnF4,1.0,1.0,1.63,0.83,1.33,1.0,2.0,-1.0,0.344443,train
Tl2UO4,1.0,1.0,1.59,0.73,1.4,1.0,6.0,-2.0,0.304575,train
Rb2MnBr2Cl2,1.0,1.0,1.63,0.83,1.885,1.0,2.0,-1.0,0.2525304,train
Sr2SnO4,1.0,1.0,1.31,0.69,1.4,2.0,4.0,-2.0,0.304575,train
Sr2RhO4,1.0,1.0,1.31,0.6,1.4,2.0,4.0,-2.0,0.304575,train
Ca2SiO4,1.0,1.0,1.18,0.4,1.4,2.0,4.0,-2.0,0.304575,train
Cs2CdCl4,1.0,1.0,1.78,0.95,1.81,1.0,2.0,-1.0,0.263803,train
Rb2CdCl4,1.0,1.0,1.63,0.95,1.81,1.0,2.0,-1.0,0.263803,train
SrTbVO4,1.0,1.0,1.2025,0.64,1.4,2.5,3.0,-2.0,0.304575,train
CaDyAlO4,1.0,1.0,1.1315,0.535,1.4,2.5,3.0,-2.0,0.304575,train
SrPrVO4,1.0,1.0,1.2445,0.64,1.4,2.5,3.0,-2.0,0.304575,train
SrCeAlO4,1.0,1.0,1.253,0.535,1.4,2.5,3.0,-2.0,0.304575,train
EuGdAlO4,1.0,1.0,1.2035,0.535,1.4,2.5,3.0,-2.0,0.304575,train
EuLaAlO4,1.0,1.0,1.258,0.535,1.4,2.5,3.0,-2.0,0.304575,train
EuNdAlO4,1.0,1.0,1.2315,0.535,1.4,2.5,3.0,-2.0,0.304575,train
SrTbCrO4,1.0,1.0,1.2025,0.615,1.4,2.5,3.0,-2.0,0.304575,train
