Substance rA rB rX xX
Cs2AgF4 1.78 0.94 1.33 0.344443
Sr2RuO4 1.31 0.62 1.4 0.304575
SrSmCrO4 1.221 0.615 1.4 0.304575
Cs2YbCl4 1.78 1.02 1.81 0.263803
SrTbFeO4 1.2025000000000001 0.645 1.4 0.304575
La2CuO4 1.216 0.73 1.4 0.304575
Rb2ZnF4 1.63 0.74 1.33 0.344443
Rb2NiF4 1.63 0.69 1.33 0.344443
Tl2UO4 1.59 0.73 1.4 0.304575
Rb2NpO4 1.63 0.72 1.4 0.304575
Rb2MnBr2Cl2 1.63 0.83 1.885 0.2525304
Sr2TiO4 1.31 0.605 1.4 0.304575
Sr2SnO4 1.31 0.69 1.4 0.304575
Sr2RhO4 1.31 0.6 1.4 0.304575
Ba2IrO4 1.47 0.625 1.4 0.304575
Ca2SiO4 1.18 0.4 1.4 0.304575
Rb2CdCl4 1.63 0.95 1.81 0.263803
Cs2CrCl4 1.78 0.8 1.81 0.263803
SrTbVO4 1.2025000000000001 0.64 1.4 0.304575
LaAgTiO4 1.248 0.605 1.4 0.304575
SrPrVO4 1.2445 0.64 1.4 0.304575
SrCeAlO4 1.2530000000000001 0.535 1.4 0.304575
EuNdAlO4 1.2315 0.535 1.4 0.304575
SrEuVO4 1.3050000000000002 0.58 1.4 0.304575
Cs2TmCl4 1.78 1.03 1.81 0.263803
K2ZnF4 1.55 0.74 1.33 0.344443
K2NpO4 1.55 0.72 1.4 0.304575
Pr2CuO4 1.179 0.73 1.4 0.304575
K2PuO4 1.55 0.71 1.4 0.304575
Nd2CuO4 1.163 0.73 1.4 0.304575
CaHoAlO4 1.126 0.535 1.4 0.304575
SrEuCrO4 1.215 0.615 1.4 0.304575
Tl2CuF4 1.59 0.73 1.33 0.344443
K2UO4 1.55 0.73 1.4 0.304575
Sr2MoO4 1.31 0.65 1.4 0.304575
Nd2NiO4 1.163 0.69 1.4 0.304575
Rb2PuO4 1.63 0.71 1.4 0.304575
Rb2UO4 1.63 0.73 1.4 0.304575
Cs2MnCl4 1.78 0.83 1.81 0.263803
CaPrCoO4 1.1795 0.61 1.4 0.304575
CaSmCoO4 1.1560000000000001 0.61 1.4 0.304575
Sr2MnO4 1.31 0.53 1.4 0.304575
SrPrAlO4 1.2445 0.535 1.4 0.304575
La2NiO4 1.216 0.69 1.4 0.304575
La2CoO4 1.216 0.745 1.4 0.304575
Ba2ZrO4 1.47 0.72 1.4 0.304575
Ca2MnO4 1.18 0.53 1.4 0.304575
Cs2PuO4 1.78 0.71 1.4 0.304575
Tl2NiF4 1.59 0.69 1.33 0.344443
Sr2FeO4 1.31 0.585 1.4 0.304575
DySmCuO4 1.1075 0.73 1.4 0.304575
SrLaMnO4 1.263 0.645 1.4 0.304575
